epoch;t;section;numPigs;weight;growth;sd;opt;totalCull;cycleNum;truckNum
0;0;0;360;26.4;6.6;3;0;0;0;0
0;0;1;360;26.4;6.6;3;0;0;0;0
0;0;2;360;26.4;6.6;3;0;0;0;0
1;1;0;360;33;6.68;3.15;0;0;0;0
1;1;1;360;32.3;6.64;3.2;0;0;0;0
1;1;2;360;33;6.56;3.3;0;0;0;0
2;2;0;360;39.8;6.64;3.65;0;0;0;0
2;2;1;360;38.9;6.72;3.35;0;0;0;0
2;2;2;360;38.7;6.68;3.75;0;0;0;0
3;3;0;360;46.2;6.48;4.15;0;0;0;0
3;3;1;360;46.1;6.6;3.85;0;0;0;0
3;3;2;360;45.6;6.72;4.15;0;0;0;0
4;4;0;360;52.6;6.52;4.65;0;0;0;0
4;4;1;360;52.8;6.6;4.35;0;0;0;0
4;4;2;360;52;6.68;4.65;0;0;0;0
5;5;0;360;59.1;6.56;5.15;0;0;0;0
5;5;1;360;58.8;6.6;4.85;0;0;0;0
5;5;2;360;57.9;6.72;5.15;0;0;0;0
6;6;0;360;65.4;6.56;5.65;0;0;0;0
6;6;1;360;65.5;6.68;5.35;0;0;0;0
6;6;2;360;64.2;6.64;5.65;0;0;0;0
7;7;0;360;72.1;6.48;6.15;0;0;0;0
7;7;1;360;71.9;6.72;5.85;0;0;0;0
7;7;2;360;71.2;6.6;6.15;0;0;0;0
8;8;0;360;78.9;6.56;6.75;214;615;0;3
8;8;1;360;78.1;6.88;6.5;205;615;0;3
8;8;2;360;77.5;6.6;6.9;196;615;0;3
9;9;0;146;86.2;6.56;7.35;64;203;0;0
9;9;1;155;84.9;6.84;7;74;203;0;0
9;9;2;164;83.7;6.76;7.55;65;203;0;0
10;10;0;83;92.7;6.48;8;0;0;0;0
10;10;1;84;91.7;6.76;7.55;0;0;0;0
10;10;2;101;90.8;6.6;8.2;0;0;0;0
11;11;0;83;99.6;6.24;8.65;83;205;0;1
11;11;1;84;98.6;6.68;8.1;84;205;0;1
11;11;2;101;98.2;6.56;8.85;38;205;0;1
12;0;0;360;26.4;6.6;3;0;63;1;1
12;0;1;360;26.4;6.6;3;0;63;1;1
12;12;2;63;105.3;6.6;9.4;63;63;0;1
13;1;0;360;33.1;6.56;3.2;0;0;1;0
13;1;1;360;32.9;6.72;3.3;0;0;1;0
13;0;2;360;26.4;6.6;3;0;0;1;0
14;2;0;360;40;6.64;3.6;0;0;1;0
14;2;1;360;39.7;6.76;3.75;0;0;1;0
14;1;2;360;32.7;6.52;3.05;0;0;1;0
15;3;0;360;46.5;6.64;4.1;0;0;1;0
15;3;1;360;46.6;6.72;4.25;0;0;1;0
15;2;2;360;39;6.56;3.55;0;0;1;0
16;4;0;360;53.1;6.64;4.6;0;0;1;0
16;4;1;360;53.9;6.6;4.75;0;0;1;0
16;3;2;360;45.9;6.52;3.95;0;0;1;0
17;5;0;360;59.6;6.8;5.1;0;0;1;0
17;5;1;360;61;6.52;5.25;0;0;1;0
17;4;2;360;53.1;6.56;4.45;0;0;1;0
18;6;0;360;66.8;6.68;5.6;0;0;1;0
18;6;1;360;67.5;6.4;5.75;0;0;1;0
18;5;2;360;59;6.56;4.95;0;0;1;0
19;7;0;360;73.3;6.48;6.1;0;0;1;0
