"t";"iL";"iG";"iSd";"slope";"intercept"
9;0;0;0;712,127;7116,191
9;0;1;0;703,441;7118,015
9;0;2;0;693,96;7124,373
9;0;3;0;687,021;7142,304
9;0;4;0;684,645;7178,944
9;0;5;0;685,088;7221,719
9;0;0;1;707,352;7077,018
9;0;1;1;698,867;7078,984
9;0;2;1;689,94;7085,68
9;0;3;1;683,986;7104,01
9;0;4;1;682,622;7141,021
9;0;5;1;683,646;7185,491
9;0;0;2;706,528;7023,286
9;0;1;2;697,893;7024,931
9;0;2;2;688,542;7030,629
9;0;3;2;681,819;7046,943
9;0;4;2;679,852;7082,79
9;0;5;2;681,056;7129,915
9;0;0;3;705,399;6911,072
9;0;1;3;696,716;6913,774
9;0;2;3;687,251;6922,991
9;0;3;3;680,382;6947,851
9;0;4;3;678,331;6995,736
9;0;5;3;679,497;7050,158
9;0;0;4;700,654;6788,634
9;0;1;4;691,986;6789,73
9;0;2;4;682,576;6794,229
9;0;3;4;675,902;6810,089
9;0;4;4;674,381;6850,644
9;0;5;4;676,289;6906,505
9;0;0;5;699,204;6746,678
9;0;1;5;690,554;6746,916
9;0;2;5;681,189;6748,868
9;0;3;5;674,575;6759,599
9;0;4;5;673,078;6794,706
9;0;5;5;674,981;6849,015
9;0;0;6;699,185;6748,741
9;0;1;6;690,531;6748,899
9;0;2;6;681,154;6750,621
9;0;3;6;674,507;6760,89
9;0;4;6;672,96;6795,501
9;0;5;6;674,827;6849,652
9;0;0;7;699,146;6750,069
9;0;1;7;690,492;6750,254
9;0;2;7;681,113;6752,057
9;0;3;7;674,463;6762,505
9;0;4;7;672,909;6797,408
9;0;5;7;674,767;6851,897
9;0;0;8;699,06;6750,98
9;0;1;8;690,406;6751,166
9;0;2;8;681,027;6752,969
9;0;3;8;674,377;6763,417
9;0;4;8;672,824;6798,32
9;0;5;8;674,681;6852,811
9;1;0;0;711,8;7116,279
9;1;1;0;703,064;7118,269
9;1;2;0;693,841;7126,412
9;1;3;0;688,55;7152,024
9;1;4;0;688,698;7200,038
9;1;5;0;690,49;7247,388
9;1;0;1;706,936;7076,58
9;1;1;1;698,419;7078,732
9;1;2;1;689,849;7087,249
9;1;3;1;685,718;7113,304
9;1;4;1;686,87;7162,558
9;1;5;1;689,008;7213,736
9;1;0;2;706,138;7022,994
9;1;1;2;697,464;7024,724
9;1;2;2;688,402;7031,98
9;1;3;2;683,406;7055,901
9;1;4;2;684,188;7105,919
9;1;5;2;686,805;7162,282
9;1;0;3;704,851;6910,865
9;1;1;3;696,119;6913,745
9;1;2;3;686,922;6925,363
9;1;3;3;681,766;6960,221
9;1;4;3;682,452;7022,669
9;1;5;3;685,041;7085,442
9;1;0;4;700,225;6788,943
9;1;1;4;691,511;6790,187
9;1;2;4;682,391;6796,36
9;1;3;4;677,547;6821,169
9;1;4;4;678,991;6879,154
9;1;5;4;682,442;6945,963
9;1;0;5;698,799;6746,897
9;1;1;5;690,118;6747,106
9;1;2;5;681,058;6750,106
9;1;3;5;676,265;6768,786
9;1;4;5;677,698;6822,195
9;1;5;5;681,12;6889,235
9;1;0;6;698,82;6748,463
9;1;1;6;690,124;6748,576
9;1;2;6;681,032;6751,316
9;1;3;6;676,196;6769,486
9;1;4;6;677,601;6822,48
9;1;5;6;681,029;6889,52
9;1;0;7;698,679;6749,633
9;1;1;7;689,979;6749,983
9;1;2;7;680,879;6753,051
9;1;3;7;676,033;6771,535
9;1;4;7;677,428;6824,711
9;1;5;7;680,851;6891,75
9;1;0;8;698,73;6750,924
9;1;1;8;690,03;6751,274
9;1;2;8;680,931;6754,344
9;1;3;8;676,085;6772,829
9;1;4;8;677,479;6826,004
9;1;5;8;680,902;6893,044
9;2;0;0;711,157;7116,279
9;2;1;0;702,451;7119,158
9;2;2;0;694,445;7133,156
9;2;3;0;692,214;7171,468
9;2;4;0;694,411;7226,83
9;2;5;0;696,797;7270,632
9;2;0;1;706,354;7076,918
9;2;1;1;697,949;7079,992
9;2;2;1;690,853;7094,394
9;2;3;1;689,895;7133,467
9;2;4;1;692,801;7192,085
9;2;5;1;695,098;7241,717
9;2;0;2;705,624;7022,999
9;2;1;2;697,005;7025,539
9;2;2;2;689,224;7038,319
9;2;3;2;687,402;7076,132
9;2;4;2;690,388;7138,742
9;2;5;2;693,248;7195,601
9;2;0;3;704,336;6911,02
9;2;1;3;695,644;6915,165
9;2;2;3;687,702;6934,83
9;2;3;3;685,72;6986,273
