t;iL;iG;iSd;slope
0;0;0;0;678.264
0;10;3;1;356.451
1;10;3;1;606.646
8;2;0;1;406.28
8;3;2;0;402.383
8;3;2;1;410.628
8;4;1;0;439.08
8;4;1;1;418.818
8;4;2;0;449.255
8;4;2;1;430.237
8;4;3;0;455.183
8;4;3;1;435.6
8;4;4;0;424.321
8;5;0;0;434.228
8;5;0;1;412.763
8;5;1;0;443.254
8;5;1;1;411.153
8;5;2;0;470.634
8;5;2;1;427.779
8;5;3;0;481.994
8;5;3;1;471.604
8;5;4;1;473.601
8;6;1;0;466.898
8;6;1;1;452.056
8;6;2;0;494.652
8;6;2;1;475.242
8;6;3;0;500.787
8;6;3;1;489.004
8;6;4;0;506.638
8;6;4;1;483.841
8;7;1;0;480.259
8;7;1;1;477.353
8;7;2;0;510.809
8;7;2;1;507.447
8;7;3;0;527.372
8;7;3;1;516.941
8;7;4;0;531.774
8;7;4;1;517.579
8;7;5;0;542.834
8;7;5;1;519.491
8;8;1;0;514.385
8;8;1;1;574.256
8;8;2;0;538.859
8;8;2;1;515.94
8;8;3;0;551.152
8;8;3;1;542.098
8;8;4;0;558.488
8;8;4;1;545.486
8;8;5;0;557.964
8;8;5;1;611.947
8;9;1;0;535.118
8;9;1;1;537.887
8;9;2;0;546.126
8;9;2;1;541.02
8;9;3;0;564.997
8;9;3;1;552.385
8;9;4;0;564.169
8;9;4;1;570.664
8;9;5;0;573.39
8;9;5;1;576.074
8;10;1;0;546.961
8;10;2;0;567.648
8;10;2;1;559.743
8;10;3;0;579.264
8;10;3;1;585.535
8;10;4;0;582.061
8;10;4;1;575.023
8;10;5;0;592.8
8;10;5;1;595.679
8;11;2;0;582.722
8;11;2;1;580.735
8;11;3;0;595.375
8;11;3;1;592.595
8;11;4;0;603.538
8;11;4;1;587.337
8;11;5;0;614.335
8;11;5;1;611.959
8;12;2;1;616.73
8;12;3;0;616.031
8;12;3;1;613.082
8;12;4;0;612.632
8;12;4;1;627.316
8;12;5;0;625.52
8;12;5;1;609.706
8;13;2;1;629.609
8;13;3;0;637.405
8;13;3;1;631.889
8;13;4;0;635.137
8;13;4;1;650.158
8;13;5;0;654.246
8;13;5;1;645.119
8;14;3;0;655.824
8;14;4;1;656.576
8;14;5;0;661.839
8;14;5;1;652.947
9;0;0;1;483.358
9;2;2;0;447.199
9;3;1;0;482.911
9;3;2;0;481.758
9;3;2;1;467.55
9;3;3;1;485.843
9;4;0;0;502.151
9;4;0;1;479.04
9;4;1;0;512.033
9;4;2;0;511.647
9;4;2;1;480.799
9;4;2;2;489.413
9;4;3;0;535.688
9;4;3;1;524
9;5;1;0;535.337
9;5;1;1;512.303
9;5;2;0;523.482
9;5;2;1;528.1
9;5;2;2;513.305
9;5;3;0;545.12
9;5;3;1;544.671
9;5;3;2;512.128
9;5;4;0;556.315
9;5;4;1;561.891
9;5;5;0;562.443
9;6;0;0;540.317
9;6;0;1;548.673
9;6;1;0;543.952
9;6;1;1;530.371
9;6;2;0;549.692
9;6;2;1;538.86
9;6;3;0;564.524
9;6;3;1;558.062
9;6;4;0;577.254
9;6;4;1;565.04
9;7;1;0;564.667
9;7;1;1;570.491
9;7;2;0;579.45
9;7;2;1;574.003
9;7;2;2;567.476
9;7;3;0;580.182
9;7;3;1;570.16
9;7;3;2;575.328
9;7;4;0;577.666
9;7;4;1;596.486
9;7;4;2;563.02
9;7;5;0;602.31
9;7;5;1;585.742
9;8;1;0;590.21
9;8;2;0;607.962
9;8;2;1;586.939
9;8;3;0;603.641
9;8;3;1;595.06
9;8;3;2;600.454
9;8;4;0;613.427
9;8;4;1;609.898
9;8;4;2;583.413
9;8;5;0;604.485
9;8;5;1;608.033
9;9;1;0;612.974
9;9;2;0;630.366
9;9;2;1;615.008
9;9;2;2;616.046
9;9;3;0;621.351
9;9;3;1;635.23
9;9;3;2;620.1
9;9;4;0;625.258
9;9;4;1;627.79
9;9;4;2;611.608
9;9;5;0;635.083
9;9;5;1;630.335
9;9;5;2;635.326
9;10;1;0;627.819
9;10;2;0;629.121
9;10;2;1;642.966
9;10;2;2;629.211
9;10;3;0;647.349
9;10;3;1;641.772
9;10;3;2;642.569
9;10;4;0;646.283
9;10;4;1;642.867
9;10;4;2;646.563
9;10;5;0;651.393
9;10;5;1;655.89
9;11;2;0;656.316
9;11;2;2;658.271
9;11;3;0;663.028
9;11;3;1;659.913
9;11;3;2;650.424
9;11;4;0;664.654
9;11;4;1;652.337
9;11;4;2;656.419
9;11;5;0;660.049
9;11;5;1;662.451
9;11;5;2;665.832
9;12;2;1;685.256
9;12;3;0;684.379
9;12;3;1;682.279
9;12;4;0;685.793
9;12;4;1;698.923
9;12;4;2;678.671
9;12;5;0;670.155
9;12;5;1;670.646
9;13;2;1;682.307
9;13;3;0;706.679
9;13;3;1;708.364
9;13;4;0;700.194
9;13;4;1;709.796
9;13;5;0;709.07
9;13;5;1;701.778
9;14;5;1;720.487
9;15;5;0;734.425
10;0;0;0;558.28
10;0;0;1;550.422
10;1;0;0;561.531
10;2;1;0;541.359
10;2;1;1;528.249
10;2;2;0;529.919
10;3;0;0;573.4
10;3;1;0;555.684
10;3;1;1;540.851
10;3;2;0;564.581
10;3;2;1;557.867
10;3;3;0;570.357
10;4;1;0;585.786
10;4;1;1;558.408
10;4;2;0;593.417
10;4;2;1;565.628
10;4;2;2;575.947
10;4;3;0;602.701
10;4;3;1;590.167
10;4;3;3;570.399
10;5;0;0;593.507
10;5;0;1;597.327
10;5;1;0;610.337
10;5;1;1;601.963
10;5;2;0;595.605
10;5;2;1;597.433
10;5;3;0;610.302
10;5;3;1;606.537
10;5;3;2;612.43
10;5;4;0;606.631
10;6;0;0;609.766
10;6;0;1;611.867
10;6;1;0;620.796
10;6;1;1;625.303
10;6;2;0;638.403
10;6;2;1;624.036
10;6;2;2;617.537
10;6;3;0;641.686
10;6;3;1;615.976
10;6;3;2;636.643
10;6;4;0;638.187
10;6;4;1;627.767
10;6;5;0;618.392
10;7;1;0;651.451
10;7;1;1;650.731
10;7;2;0;655.046
10;7;2;1;648.52
10;7;2;2;642.496
10;7;3;0;640.567
10;7;3;1;659.661
10;7;3;2;641.892
10;7;4;0;647.875
10;7;4;1;666.651
10;7;4;2;640.359
10;7;5;0;651.581
10;7;5;1;659.92
10;8;1;0;680.259
10;8;1;1;668.561
10;8;2;0;681.21
10;8;2;1;658.918
10;8;2;2;655.219
10;8;3;0;671.908
10;8;3;1;674.633
10;8;3;2;673.677
10;8;4;0;671.983
10;8;4;1;685.708
10;8;4;2;661.819
10;8;5;0;678.33
10;9;1;0;702.58
10;9;1;1;692.945
10;9;2;0;687.382
10;9;2;1;688.018
10;9;3;0;702.531
10;9;3;1;694.875
10;9;3;2;682.388
10;9;3;3;683.827
10;9;4;0;688.58
10;9;4;1;685.817
10;9;5;0;687.318
10;9;5;1;689.845
10;10;1;0;703.688
10;10;2;0;717.251
10;10;2;1;707.731
10;10;3;0;712.731
10;10;3;1;722.144
10;10;3;2;705.66
10;10;3;3;699.548
10;10;4;0;721.661
10;10;4;1;708.095
10;10;4;2;715.844
10;10;5;0;720.648
10;10;5;1;714.416
