epoch;t;section;numPigs;weight;growth;sd;opt;totalCull;cycleNum;truckNum
0;0;0;360;26.4;5;3;0;0;0;0
0;0;1;360;26.4;5.8;3;0;0;0;0
0;0;2;360;26.4;6.6;3;0;0;0;0
1;1;0;360;31.3;4.96;3.15;0;0;0;0
1;1;1;360;31.6;5.84;3.2;0;0;0;0
1;1;2;360;33;6.68;3.25;0;0;0;0
2;2;0;360;36;4.88;3.65;0;0;0;0
2;2;1;360;36.9;5.88;3.65;0;0;0;0
2;2;2;360;39.5;6.6;3.65;0;0;0;0
3;3;0;360;41.1;4.88;4.15;0;0;0;0
3;3;1;360;43.4;5.88;4.1;0;0;0;0
3;3;2;360;46.4;6.68;4.15;0;0;0;0
4;4;0;360;46;5;4.65;0;0;0;0
4;4;1;360;48.9;5.8;4.6;0;0;0;0
4;4;2;360;53.8;6.64;4.65;0;0;0;0
5;5;0;360;51;5.08;5.15;0;0;0;0
5;5;1;360;54.7;5.92;5.1;0;0;0;0
5;5;2;360;60.1;6.64;5.15;0;0;0;0
6;6;0;360;56.1;5.12;5.65;0;0;0;0
6;6;1;360;60.2;6;5.6;0;0;0;0
6;6;2;360;66.2;6.64;5.65;0;0;0;0
7;7;0;360;61.6;5.04;6.15;0;0;0;0
7;7;1;360;66.3;6.08;6.1;0;0;0;0
7;7;2;360;72.5;6.72;6.15;0;0;0;0
8;8;0;360;67.6;5.12;6.7;91;410;0;2
8;8;1;360;72.8;6.12;6.75;134;410;0;2
8;8;2;360;78.9;6.44;6.75;185;410;0;2
9;9;0;269;73.3;5.2;7.2;48;157;0;1
9;9;1;226;78.9;6.28;7.3;55;157;0;1
9;9;2;175;85.4;6.36;7.3;54;157;0;1
10;10;0;221;79.8;5.12;7.7;52;126;0;1
10;10;1;171;85.2;6.4;7.8;39;126;0;1
10;10;2;121;91.7;6.44;7.9;35;126;0;1
11;11;0;169;86.3;4.96;8.25;42;166;0;1
11;11;1;132;92.1;6.4;8.3;38;166;0;1
11;11;2;86;98.4;6.44;8.5;86;166;0;1
12;12;0;127;92.4;5.08;8.85;26;53;0;1
12;12;1;94;99.1;6.32;8.95;27;53;0;1
12;0;2;360;26.4;6.6;3;0;53;1;1
13;13;0;101;99.1;5.16;9.4;101;168;0;1
13;13;1;67;105.6;6.44;9.5;67;168;0;1
13;1;2;360;32.8;6.56;3.25;0;168;1;1
14;0;0;360;26.4;6.6;3;0;0;1;0
14;0;1;360;26.4;6.6;3;0;0;1;0
14;2;2;360;39.7;6.68;3.6;0;0;1;0
15;1;0;360;32.8;6.68;3.1;0;0;1;0
15;1;1;360;32.9;6.56;3.25;0;0;1;0
15;3;2;360;45.5;6.72;4.05;0;0;1;0
16;2;0;360;39.4;6.8;3.55;0;0;1;0
16;2;1;360;38.8;6.6;3.65;0;0;1;0
16;4;2;360;52.3;6.76;4.55;0;0;1;0
17;3;0;360;45.7;6.72;4.05;0;0;1;0
17;3;1;360;45.7;6.52;4.1;0;0;1;0
17;5;2;360;59.1;6.8;5.05;0;0;1;0
18;4;0;360;52.6;6.6;4.55;0;0;1;0
18;4;1;360;51.9;6.52;4.6;0;0;1;0
18;6;2;360;66.2;6.68;5.55;0;0;1;0
19;5;0;360;58.5;6.6;5.05;0;0;1;0
19;5;1;360;58.1;6.6;5.1;0;0;1;0
19;7;2;360;73.2;6.64;6.05;0;0;1;0
20;6;0;360;65.2;6.56;5.55;0;200;1;1
20;6;1;360;65.5;6.52;5.6;0;200;1;1
20;8;2;360;80.1;6.64;6.65;200;200;1;1
21;7;0;360;71.4;6.6;6.05;0;46;1;1
21;7;1;360;71.8;6.56;6.1;0;46;1;1
21;9;2;160;86.9;6.64;7.25;46;46;1;1
22;8;0;360;78.6;6.6;6.65;180;408;1;2
22;8;1;360;78.6;6.52;6.8;191;408;1;2
22;10;2;114;93.5;6.72;7.85;37;408;1;2
23;9;0;180;85.4;6.52;7.25;55;179;1;1
23;9;1;169;85.4;6.32;7.35;48;179;1;1
23;11;2;77;99.8;6.8;8.45;76;179;1;1
24;10;0;125;92.2;6.56;7.85;42;86;1;1
24;10;1;121;91.9;6.12;8;36;86;1;1
24;12;2;8;106.9;6.84;9.05;8;86;1;1
25;11;0;83;99.2;6.56;8.4;83;101;1;1
25;11;1;85;97.8;6.16;8.55;18;101;1;1
25;0;2;360;26.4;6.6;3;0;101;2;1
26;0;0;360;26.4;6.6;3;0;67;2;1
26;12;1;67;104.5;6.16;9.1;67;67;1;1
26;1;2;360;33.4;6.64;3.3;0;67;2;1
27;1;0;360;32.7;6.6;2.9;0;0;2;0
27;0;1;360;26.4;6.6;3;0;0;2;0
27;2;2;360;40.2;6.64;3.7;0;0;2;0
28;2;0;360;40.1;6.64;3.3;0;0;2;0
28;1;1;360;33.1;6.72;3.05;0;0;2;0
28;3;2;360;46.2;6.52;4.15;0;0;2;0
29;3;0;360;47.1;6.68;3.8;0;0;2;0
29;2;1;360;40.1;6.76;3.5;0;0;2;0
29;4;2;360;52.7;6.48;4.6;0;0;2;0
30;4;0;360;53.5;6.8;4.3;0;0;2;0
30;3;1;360;46.6;6.84;4;0;0;2;0
30;5;2;360;59.5;6.52;5.05;0;0;2;0
31;5;0;360;60.2;6.88;4.8;0;0;2;0
31;4;1;360;53;6.8;4.5;0;0;2;0
31;6;2;360;66.7;6.48;5.55;0;0;2;0
32;6;0;360;67.3;7.04;5.3;0;0;2;0
32;5;1;360;59.8;6.88;5;0;0;2;0
32;7;2;360;73;6.6;6.05;0;0;2;0
33;7;0;360;74.8;7;5.8;0;192;2;1
33;6;1;360;66.3;6.76;5.5;0;192;2;1
33;8;2;360;79.9;6.68;6.7;192;192;2;1
34;8;0;360;82;6.92;6.45;213;266;2;2
34;7;1;360;73.3;6.84;6;0;266;2;2
34;9;2;168;86.7;6.68;7.2;53;266;2;2
35;9;0;147;89;6.88;6.95;47;286;2;2
35;8;1;360;80.7;6.84;6.6;202;286;2;2
35;10;2;115;93.2;6.76;7.7;37;286;2;2
36;10;0;100;95.2;6.88;7.55;100;205;2;1
36;9;1;158;87.6;6.92;7.25;27;205;2;1
36;11;2;78;99.9;6.72;8.25;78;205;2;1
37;0;0;360;26.4;6.6;3;0;60;3;1
37;10;1;131;94.7;6.8;7.75;60;60;2;1
37;0;2;360;26.4;6.6;3;0;60;3;1
38;1;0;360;33.6;6.52;3.3;0;71;3;1
38;11;1;71;102.1;6.72;8.35;71;71;2;1
38;1;2;360;33.1;6.6;3.05;0;71;3;1
39;2;0;360;39.6;6.48;3.5;0;0;3;0
39;0;1;360;26.4;6.6;3;0;0;3;0
39;2;2;360;39.7;6.56;3.3;0;0;3;0
40;3;0;360;46.2;6.64;3.95;0;0;3;0
40;1;1;360;32.7;6.68;3.3;0;0;3;0
40;3;2;360;46.3;6.64;3.8;0;0;3;0
41;4;0;360;52.7;6.84;4.45;0;0;3;0
41;2;1;360;39.5;6.68;3.75;0;0;3;0
41;4;2;360;53.2;6.56;4.3;0;0;3;0
42;5;0;360;58.8;6.84;4.95;0;0;3;0
42;3;1;360;45.7;6.8;4.1;0;0;3;0
42;5;2;360;59.9;6.52;4.8;0;0;3;0
43;6;0;360;65.9;6.8;5.45;0;0;3;0
43;4;1;360;53.2;6.72;4.6;0;0;3;0
43;6;2;360;66.6;6.48;5.3;0;0;3;0
44;7;0;360;72.8;6.76;5.95;0;0;3;0
44;5;1;360;59.8;6.64;5.1;0;0;3;0
44;7;2;360;73.2;6.44;5.8;0;0;3;0
45;8;0;360;79.4;6.8;6.75;188;390;3;2
45;6;1;360;66.2;6.68;5.6;0;390;3;2
45;8;2;360;80.4;6.36;6.4;202;390;3;2
46;9;0;172;85.9;6.96;7.3;47;86;3;1
46;7;1;360;72.8;6.64;6.1;0;86;3;1
46;9;2;158;86.7;6.36;7;39;86;3;1
47;10;0;125;93.1;6.96;7.9;45;291;3;2
47;8;1;360;79.8;6.52;6.7;203;291;3;2
47;10;2;119;93.1;6.4;7.55;43;291;3;2
48;11;0;80;99.4;7;8.45;80;200;3;1
48;9;1;157;86.6;6.48;7.3;44;200;3;1
48;11;2;76;99.5;6.44;8.15;76;200;3;1
49;0;0;360;26.4;6.6;3;0;32;4;1
49;10;1;113;93.1;6.52;7.9;32;32;3;1
49;0;2;360;26.4;6.6;3;0;32;4;1
50;1;0;360;33;6.52;3.1;0;81;4;1
50;11;1;81;99.7;6.48;8.5;81;81;3;1
50;1;2;360;34;6.52;3.15;0;81;4;1
51;2;0;360;40.2;6.44;3.55;0;0;4;0
51;0;1;360;26.4;6.6;3;0;0;4;0
51;2;2;360;40.7;6.56;3.6;0;0;4;0
52;3;0;360;46.9;6.4;4.05;0;0;4;0
52;1;1;360;33;6.6;3.1;0;0;4;0
52;3;2;360;48;6.44;4.05;0;0;4;0
53;4;0;360;53.8;6.32;4.55;0;0;4;0
53;2;1;360;40;6.56;3.4;0;0;4;0
53;4;2;360;54;6.48;4.5;0;0;4;0
54;5;0;360;60;6.4;5.05;0;0;4;0
54;3;1;360;46;6.6;3.85;0;0;4;0
54;5;2;360;60;6.56;5;0;0;4;0
55;6;0;360;67;6.36;5.55;0;0;4;0
55;4;1;360;52.4;6.6;4.3;0;0;4;0
55;6;2;360;66.9;6.56;5.5;0;0;4;0
56;7;0;360;73.6;6.48;6.05;0;0;4;0
56;5;1;360;58.4;6.52;4.8;0;0;4;0
56;7;2;360;74.1;6.52;6;0;0;4;0
57;8;0;360;80.6;6.52;6.9;201;410;4;2
57;6;1;360;65.1;6.56;5.3;0;410;4;2
57;8;2;360;80.7;6.36;6.5;209;410;4;2
58;9;0;159;87.9;6.52;7.5;45;86;4;1
58;7;1;360;71.1;6.68;5.8;0;86;4;1
58;9;2;151;86.8;6.32;7.05;41;86;4;1
59;10;0;114;94.1;6.72;8.05;23;204;4;1
59;8;1;360;77.6;6.72;6.45;163;204;4;1
59;10;2;110;92.9;6.32;7.6;18;204;4;1
60;11;0;91;100.4;6.84;8.85;91;245;4;2
60;9;1;197;84;6.76;7;62;245;4;2
60;11;2;92;99.5;6.28;8.1;92;245;4;2
61;0;0;360;26.4;6.6;3;0;41;5;1
61;10;1;135;90.5;6.8;7.6;41;41;4;1
61;0;2;360;26.4;6.6;3;0;41;5;1
62;1;0;360;32.8;6.56;2.95;0;94;5;1
62;11;1;94;97.2;6.68;8.15;94;94;4;1
62;1;2;360;33;6.52;3.3;0;94;5;1
63;2;0;360;39.1;6.6;3.35;0;0;5;0
63;0;1;360;26.4;6.6;3;0;0;5;0
63;2;2;360;39.5;6.64;3.8;0;0;5;0
64;3;0;360;45.6;6.68;3.8;0;0;5;0
64;1;1;360;33.3;6.52;3.2;0;0;5;0
64;3;2;360;46.1;6.72;4.3;0;0;5;0
65;4;0;360;52.3;6.76;4.3;0;0;5;0
65;2;1;360;39.4;6.52;3.65;0;0;5;0
65;4;2;360;52.6;6.84;4.8;0;0;5;0
66;5;0;360;59.2;6.84;4.8;0;0;5;0
66;3;1;360;46.2;6.4;4.05;0;0;5;0
66;5;2;360;59.4;6.84;5.3;0;0;5;0
67;6;0;360;66.1;6.72;5.3;0;0;5;0
67;4;1;360;52.5;6.36;4.55;0;0;5;0
67;6;2;360;66.7;6.84;5.8;0;0;5;0
68;7;0;360;72.9;6.76;5.8;0;0;5;0
68;5;1;360;59;6.36;5.05;0;0;5;0
68;7;2;360;73.9;6.76;6.3;0;0;5;0
69;8;0;360;79.4;6.6;6.4;190;393;5;2
69;6;1;360;65.2;6.32;5.55;0;393;5;2
69;8;2;360;80.4;6.64;6.95;203;393;5;2
70;9;0;170;85.9;6.72;6.95;47;89;5;1
70;7;1;360;71.6;6.4;6.05;0;89;5;1
70;9;2;157;86.6;6.56;7.65;42;89;5;1
71;10;0;123;92.8;6.76;7.6;48;269;5;2
71;8;1;360;77.9;6.48;6.75;185;269;5;2
71;10;2;115;93.2;6.48;8.25;36;269;5;2
72;11;0;75;99;6.8;8.15;75;198;5;1
72;9;1;175;84.2;6.4;7.35;44;198;5;1
72;11;2;79;99.4;6.28;9;79;198;5;1
73;0;0;360;26.4;6.6;3;0;37;6;1
73;10;1;131;91;6.56;8;37;37;5;1
73;0;2;360;26.4;6.6;3;0;37;6;1
74;1;0;360;33.2;6.68;3.2;0;94;6;1
74;11;1;94;97.6;6.52;8.65;94;94;5;1
74;1;2;360;33.6;6.52;3.4;0;94;6;1
75;2;0;360;39.6;6.72;3.5;0;0;6;0
75;0;1;360;26.4;6.6;3;0;0;6;0
75;2;2;360;40.8;6.6;3.45;0;0;6;0
76;3;0;360;46.6;6.64;3.95;0;0;6;0
76;1;1;360;33.1;6.68;3.2;0;0;6;0
76;3;2;360;47.6;6.56;3.9;0;0;6;0
77;4;0;360;52.8;6.76;4.45;0;0;6;0
77;2;1;360;40.1;6.8;3.5;0;0;6;0
77;4;2;360;53.6;6.48;4.4;0;0;6;0
78;5;0;360;59.8;6.68;4.95;0;0;6;0
78;3;1;360;46.6;6.88;3.95;0;0;6;0
78;5;2;360;59.5;6.32;4.9;0;0;6;0
79;6;0;360;66;6.56;5.45;0;0;6;0
79;4;1;360;53.6;6.8;4.45;0;0;6;0
79;6;2;360;66.2;6.32;5.4;0;0;6;0
80;7;0;360;72.5;6.4;5.95;0;0;6;0
80;5;1;360;60.6;6.72;4.95;0;0;6;0
80;7;2;360;72.7;6.36;5.9;0;0;6;0
81;8;0;360;78.8;6.48;6.5;194;385;6;2
81;6;1;360;67.4;6.56;5.45;0;385;6;2
81;8;2;360;78.7;6.32;6.55;191;385;6;2
82;9;0;166;85.1;6.56;7.1;42;81;6;1
82;7;1;360;74.4;6.44;5.95;0;81;6;1
82;9;2;169;84.7;6.32;7.15;39;81;6;1
83;10;0;124;91.8;6.56;7.65;41;287;6;2
83;8;1;360;80.9;6.48;6.55;206;287;6;2
83;10;2;130;90.8;6.36;7.65;40;287;6;2
84;11;0;83;98.2;6.6;8.25;83;205;6;1
84;9;1;154;86.8;6.52;7.2;32;205;6;1
84;11;2;90;97.2;6.4;8.25;90;205;6;1
85;0;0;360;26.4;6.6;3;0;39;7;1
85;10;1;122;93;6.52;7.8;39;39;6;1
85;0;2;360;26.4;6.6;3;0;39;7;1
86;1;0;360;32.9;6.6;3.35;0;83;7;1
86;11;1;83;99.5;6.56;8.35;83;83;6;1
86;1;2;360;33.2;6.6;3.05;0;83;7;1
87;2;0;360;39.3;6.6;3.8;0;0;7;0
87;0;1;360;26.4;6.6;3;0;0;7;0
87;2;2;360;39.5;6.72;3.4;0;0;7;0
88;3;0;360;45.9;6.64;4.2;0;0;7;0
88;1;1;360;32.9;6.64;3.15;0;0;7;0
88;3;2;360;46.1;6.68;3.85;0;0;7;0
89;4;0;360;52.2;6.68;4.65;0;0;7;0
89;2;1;360;39;6.6;3.4;0;0;7;0
89;4;2;360;52.8;6.72;4.35;0;0;7;0
90;5;0;360;59.1;6.8;5.15;0;0;7;0
90;3;1;360;45.5;6.52;3.9;0;0;7;0
90;5;2;360;59.4;6.96;4.85;0;0;7;0
91;6;0;360;66;6.6;5.65;0;0;7;0
91;4;1;360;52.2;6.44;4.4;0;0;7;0
91;6;2;360;66.3;6.96;5.35;0;0;7;0
92;7;0;360;72.7;6.52;6.15;0;0;7;0
92;5;1;360;58.7;6.52;4.85;0;0;7;0
92;7;2;360;73;6.88;5.85;0;0;7;0
93;8;0;360;79.2;6.48;6.7;200;391;7;2
93;6;1;360;66.3;6.52;5.35;0;391;7;2
93;8;2;360;79.2;6.84;6.45;191;391;7;2
94;9;0;160;85.7;6.56;7.25;37;81;7;1
94;7;1;360;72.3;6.48;5.85;0;81;7;1
94;9;2;169;85.7;6.92;6.95;44;81;7;1
95;10;0;123;92.6;6.56;7.8;44;271;7;2
95;8;1;360;78.4;6.32;6.5;188;271;7;2
95;10;2;125;92;6.96;7.55;39;271;7;2
96;11;0;79;99.3;6.6;8.3;79;205;7;1
96;9;1;172;84.6;6.28;7;40;205;7;1
96;11;2;86;99.1;7;8.1;86;205;7;1
97;0;0;360;26.4;6.6;3;0;46;8;1
97;10;1;132;91.2;6.2;7.5;46;46;7;1
97;0;2;360;26.4;6.6;3;0;46;8;1
98;1;0;360;33.1;6.6;3.1;0;86;8;1
98;11;1;86;97.2;6.28;8.05;86;86;7;1
98;1;2;360;32.8;6.76;3.3;0;86;8;1
99;2;0;360;39.6;6.52;3.5;0;0;8;0
99;0;1;360;26.4;6.6;3;0;0;8;0
99;2;2;360;39.3;6.8;3.7;0;0;8;0
100;3;0;360;46;6.4;3.95;0;0;8;0
100;1;1;360;33.2;6.64;2.95;0;0;8;0
100;3;2;360;46.8;6.76;4.15;0;0;8;0
101;4;0;360;52.3;6.52;4.4;0;0;8;0
101;2;1;360;39.5;6.6;3.45;0;0;8;0
101;4;2;360;53.4;6.72;4.65;0;0;8;0
102;5;0;360;58.4;6.6;4.9;0;0;8;0
102;3;1;360;46.4;6.56;3.9;0;0;8;0
102;5;2;360;60.4;6.64;5.15;0;0;8;0
103;6;0;360;65.1;6.6;5.4;0;0;8;0
