epoch;t;section;numPigs;weight;growth;sd;opt;totalCull;cycleNum;truckNum
0;0;0;360;26.4;5;3;0;0;0;0
0;0;1;360;26.4;5.8;3;0;0;0;0
0;0;2;360;26.4;6.6;3;0;0;0;0
1;1;0;360;31.3;4.96;3.15;0;0;0;0
1;1;1;360;31.6;5.84;3.2;0;0;0;0
1;1;2;360;33;6.68;3.25;0;0;0;0
2;2;0;360;36;4.88;3.65;0;0;0;0
2;2;1;360;36.9;5.88;3.65;0;0;0;0
2;2;2;360;39.5;6.6;3.65;0;0;0;0
3;3;0;360;41.1;4.88;4.15;0;0;0;0
3;3;1;360;43.4;5.88;4.1;0;0;0;0
3;3;2;360;46.4;6.68;4.15;0;0;0;0
4;4;0;360;46;5;4.65;0;0;0;0
4;4;1;360;48.9;5.8;4.6;0;0;0;0
4;4;2;360;53.8;6.64;4.65;0;0;0;0
5;5;0;360;51;5.08;5.15;0;0;0;0
5;5;1;360;54.7;5.92;5.1;0;0;0;0
5;5;2;360;60.1;6.64;5.15;0;0;0;0
6;6;0;360;56.1;5.12;5.65;0;0;0;0
6;6;1;360;60.2;6;5.6;0;0;0;0
6;6;2;360;66.2;6.64;5.65;0;0;0;0
7;7;0;360;61.6;5.04;6.15;0;0;0;0
7;7;1;360;66.3;6.08;6.1;0;0;0;0
7;7;2;360;72.5;6.72;6.15;0;0;0;0
8;8;0;360;67.6;5.12;6.7;200;820;0;4
8;8;1;360;72.8;6.12;6.75;260;820;0;4
8;8;2;360;78.9;6.44;6.75;360;820;0;4
9;9;0;160;73.3;5.2;7.2;59;159;0;1
9;9;1;100;78.9;6.28;7.3;100;159;0;1
9;0;2;360;26.4;6.6;3;0;159;1;1
10;10;0;101;79.3;5.12;7.7;101;101;0;1
10;0;1;360;26.4;6.6;3;0;101;1;1
10;1;2;360;33.6;6.48;3.35;0;101;1;1
11;0;0;360;26.4;6.6;3;0;0;1;0
11;1;1;360;32.9;6.76;3.1;0;0;1;0
11;2;2;360;39.8;6.56;3.75;0;0;1;0
12;1;0;360;33;6.4;3.25;0;0;1;0
12;2;1;360;39.9;6.76;3.55;0;0;1;0
12;3;2;360;46.4;6.56;4.25;0;0;1;0
13;2;0;360;39.5;6.48;3.5;0;0;1;0
13;3;1;360;46.6;6.68;4.05;0;0;1;0
13;4;2;360;53.6;6.56;4.75;0;0;1;0
14;3;0;360;45.5;6.6;3.95;0;0;1;0
14;4;1;360;53.1;6.64;4.55;0;0;1;0
14;5;2;360;60.5;6.68;5.25;0;0;1;0
15;4;0;360;52.1;6.68;4.45;0;0;1;0
15;5;1;360;59.5;6.6;5.05;0;0;1;0
15;6;2;360;66.4;6.72;5.75;0;0;1;0
16;5;0;360;58.6;6.8;4.95;0;0;1;0
16;6;1;360;65.4;6.64;5.55;0;0;1;0
16;7;2;360;73.3;6.76;6.25;0;0;1;0
17;6;0;360;65.3;6.72;5.45;0;360;1;2
17;7;1;360;71.9;6.56;6.05;0;360;1;2
17;8;2;360;80.2;6.8;6.95;360;360;1;2
18;7;0;360;72.3;6.6;5.95;0;360;1;2
18;8;1;360;78.3;6.52;6.7;360;360;1;2
18;0;2;360;26.4;6.6;3;0;360;2;2
19;8;0;360;79.2;6.52;6.65;360;360;1;2
19;0;1;360;26.4;6.6;3;0;360;2;2
19;1;2;360;32.3;6.6;3.2;0;360;2;2
20;9;0;0;85.3;6.64;7.25;0;0;1;0
20;1;1;360;33.2;6.56;3.25;0;0;2;0
20;2;2;360;38.8;6.56;3.55;0;0;2;0
21;0;0;360;26.4;6.6;3;0;0;2;0
21;2;1;360;40.3;6.52;3.6;0;0;2;0
21;3;2;360;45.2;6.56;4;0;0;2;0
22;1;0;360;32.5;6.64;3.15;0;0;2;0
22;3;1;360;46.6;6.56;4;0;0;2;0
22;4;2;360;51.9;6.56;4.5;0;0;2;0
23;2;0;360;39.5;6.64;3.65;0;0;2;0
23;4;1;360;53.5;6.6;4.5;0;0;2;0
23;5;2;360;58.5;6.64;5;0;0;2;0
24;3;0;360;46.5;6.56;4.15;0;0;2;0
24;5;1;360;60;6.4;5;0;0;2;0
24;6;2;360;64.6;6.76;5.5;0;0;2;0
25;4;0;360;53.3;6.64;4.6;0;0;2;0
25;6;1;360;66.6;6.2;5.5;0;0;2;0
25;7;2;360;71.4;6.8;6;0;0;2;0
26;5;0;360;60.3;6.64;5.1;0;360;2;2
26;7;1;360;72.5;6.24;6;0;360;2;2
26;8;2;360;78.4;6.76;6.75;360;360;2;2
27;6;0;360;67.4;6.68;5.6;0;360;2;2
27;8;1;360;78.4;6.24;6.5;360;360;2;2
27;0;2;360;26.4;6.6;3;0;360;3;2
28;7;0;360;74.3;6.68;6.1;0;0;2;0
28;0;1;360;26.4;6.6;3;0;0;3;0
28;1;2;360;33.9;6.64;3.2;0;0;3;0
29;8;0;360;81.2;6.8;6.8;360;360;2;2
29;1;1;360;32.3;6.48;3.1;0;360;3;2
29;2;2;360;41.1;6.68;3.65;0;360;3;2
30;0;0;360;26.4;6.6;3;0;0;3;0
30;2;1;360;38.8;6.52;3.5;0;0;3;0
30;3;2;360;47.7;6.64;4.15;0;0;3;0
31;1;0;360;33;6.72;3.15;0;0;3;0
31;3;1;360;44.7;6.6;4;0;0;3;0
31;4;2;360;54.8;6.68;4.55;0;0;3;0
32;2;0;360;39.5;6.8;3.5;0;0;3;0
32;4;1;360;51.1;6.56;4.5;0;0;3;0
32;5;2;360;62.1;6.64;5.05;0;0;3;0
33;3;0;360;46.4;7.04;3.95;0;0;3;0
33;5;1;360;57.6;6.64;5;0;0;3;0
33;6;2;360;68.4;6.76;5.55;0;0;3;0
34;4;0;360;53.9;7;4.45;0;0;3;0
34;6;1;360;63.9;6.52;5.5;0;0;3;0
34;7;2;360;75.7;6.8;6.05;0;0;3;0
35;5;0;360;61.3;6.96;4.95;0;360;3;2
35;7;1;360;70.4;6.6;6;0;360;3;2
35;8;2;360;82.4;6.76;6.55;360;360;3;2
36;6;0;360;68.6;6.96;5.45;0;360;3;2
36;8;1;360;77.5;6.56;6.65;360;360;3;2
36;0;2;360;26.4;6.6;3;0;360;4;2
37;7;0;360;75.3;7.04;5.95;0;0;3;0
37;0;1;360;26.4;6.6;3;0;0;4;0
37;1;2;360;32.5;6.6;3.25;0;0;4;0
38;8;0;360;82.3;7.12;6.6;360;360;3;2
38;1;1;360;32.7;6.52;3.2;0;360;4;2
38;2;2;360;39.3;6.48;3.65;0;360;4;2
39;0;0;360;26.4;6.6;3;0;0;4;0
39;2;1;360;39.7;6.44;3.6;0;0;4;0
39;3;2;360;46.1;6.4;4.1;0;0;4;0
40;1;0;360;33.1;6.6;3.05;0;0;4;0
40;3;1;360;45.7;6.4;4;0;0;4;0
40;4;2;360;52.5;6.36;4.6;0;0;4;0
41;2;0;360;39.6;6.76;3.5;0;0;4;0
41;4;1;360;52;6.48;4.5;0;0;4;0
41;5;2;360;58.9;6.44;5.1;0;0;4;0
42;3;0;360;46.1;6.96;3.95;0;0;4;0
42;5;1;360;58.9;6.48;5;0;0;4;0
42;6;2;360;65.6;6.36;5.6;0;0;4;0
43;4;0;360;52.5;6.96;4.45;0;0;4;0
43;6;1;360;65.1;6.6;5.5;0;0;4;0
43;7;2;360;71.8;6.32;6.1;0;0;4;0
44;5;0;360;59.6;6.92;4.95;0;360;4;2
44;7;1;360;72.2;6.48;6;0;360;4;2
44;8;2;360;78.2;6.28;6.65;360;360;4;2
45;6;0;360;66.6;6.88;5.45;0;360;4;2
45;8;1;360;78.6;6.4;6.65;360;360;4;2
45;0;2;360;26.4;6.6;3;0;360;5;2
46;7;0;360;73.7;6.84;5.95;0;0;4;0
46;0;1;360;26.4;6.6;3;0;0;5;0
46;1;2;360;32.8;6.68;3.25;0;0;5;0
47;8;0;360;80.2;6.88;6.5;360;360;4;2
47;1;1;360;33.4;6.52;3.1;0;360;5;2
47;2;2;360;39.2;6.84;3.65;0;360;5;2
48;0;0;360;26.4;6.6;3;0;0;5;0
48;2;1;360;39.9;6.48;3.5;0;0;5;0
48;3;2;360;45.9;6.84;4.15;0;0;5;0
49;1;0;360;33;6.6;3.1;0;0;5;0
49;3;1;360;46.8;6.36;3.95;0;0;5;0
49;4;2;360;53;6.88;4.55;0;0;5;0
50;2;0;360;39.2;6.68;3.55;0;0;5;0
50;4;1;360;53.7;6.36;4.45;0;0;5;0
50;5;2;360;59.7;6.92;5.05;0;0;5;0
51;3;0;360;45.8;6.72;4.05;0;0;5;0
51;5;1;360;60;6.28;4.95;0;0;5;0
51;6;2;360;66.8;6.88;5.55;0;0;5;0
52;4;0;360;53.4;6.64;4.55;0;0;5;0
52;6;1;360;66.8;6.2;5.45;0;0;5;0
52;7;2;360;73.9;6.88;6.05;0;0;5;0
53;5;0;360;60.1;6.6;5.05;0;360;5;2
53;7;1;360;72.8;6.24;5.95;0;360;5;2
53;8;2;360;80.9;6.72;6.75;360;360;5;2
54;6;0;360;67.1;6.52;5.55;0;360;5;2
54;8;1;360;79.5;6.16;6.5;360;360;5;2
54;0;2;360;26.4;6.6;3;0;360;6;2
55;7;0;360;73.5;6.6;6.05;0;0;5;0
55;0;1;360;26.4;6.6;3;0;0;6;0
55;1;2;360;32.9;6.68;3.35;0;0;6;0
56;8;0;360;79.6;6.56;6.7;360;360;5;1
56;1;1;360;32.6;6.72;3.15;0;360;6;1
56;2;2;360;40.2;6.64;3.8;0;360;6;1
57;0;0;360;26.4;6.6;3;0;0;6;0
57;2;1;360;39.5;6.72;3.55;0;0;6;0
57;3;2;360;47;6.64;4.25;0;0;6;0
58;1;0;360;33.1;6.72;3.3;0;0;6;0
58;3;1;360;45.6;6.64;4;0;0;6;0
58;4;2;360;54.1;6.6;4.75;0;0;6;0
59;2;0;360;40.4;6.76;3.7;0;0;6;0
59;4;1;360;52.2;6.68;4.5;0;0;6;0
59;5;2;360;60.9;6.44;5.25;0;0;6;0
60;3;0;360;47.8;6.76;4.1;0;0;6;0
60;5;1;360;58.7;6.8;5;0;0;6;0
60;6;2;360;67.4;6.4;5.75;0;0;6;0
61;4;0;360;54.1;6.96;4.6;0;0;6;0
61;6;1;360;65.5;6.84;5.5;0;0;6;0
61;7;2;360;73.9;6.4;6.25;0;0;6;0
62;5;0;360;60.7;7.08;5.1;0;360;6;2
62;7;1;360;71.7;6.88;6;0;360;6;2
62;8;2;360;80.4;6.32;7.05;360;360;6;2
63;6;0;360;67.5;7.12;5.6;0;360;6;2
63;8;1;360;78.1;6.84;6.5;360;360;6;2
63;9;2;0;86.4;6.2;7.75;0;360;6;2
64;7;0;360;74.7;7.04;6.1;0;0;6;0
64;9;1;0;84.6;6.92;7.05;0;0;6;0
64;0;2;360;26.4;6.6;3;0;0;7;0
65;8;0;360;81.6;7.12;6.85;360;360;6;2
65;0;1;360;26.4;6.6;3;0;360;7;2
65;1;2;360;32.8;6.68;2.95;0;360;7;2
66;0;0;360;26.4;6.6;3;0;0;7;0
66;1;1;360;33.3;6.52;3.2;0;0;7;0
66;2;2;360;39.3;6.72;3.35;0;0;7;0
67;1;0;360;33.1;6.72;3.15;0;0;7;0
67;2;1;360;39.4;6.52;3.65;0;0;7;0
67;3;2;360;45.6;6.84;3.85;0;0;7;0
68;2;0;360;40.1;6.8;3.55;0;0;7;0
68;3;1;360;46.2;6.4;4.05;0;0;7;0
68;4;2;360;52.6;6.84;4.3;0;0;7;0
69;3;0;360;46.7;6.68;4.05;0;0;7;0
69;4;1;360;52.5;6.36;4.55;0;0;7;0
69;5;2;360;60.1;6.88;4.8;0;0;7;0
70;4;0;360;53.6;6.72;4.5;0;0;7;0
70;5;1;360;59;6.36;5.05;0;0;7;0
70;6;2;360;67.3;6.84;5.3;0;0;7;0
71;5;0;360;60.1;6.56;5;0;0;7;0
71;6;1;360;65.2;6.32;5.55;0;0;7;0
71;7;2;360;73.9;6.72;5.8;0;0;7;0
72;6;0;360;66.6;6.68;5.5;0;360;7;2
72;7;1;360;71.6;6.4;6.05;0;360;7;2
72;8;2;360;80.1;6.64;6.4;360;360;7;2
73;7;0;360;73.3;6.76;6;0;360;7;2
73;8;1;360;77.9;6.48;6.75;360;360;7;2
73;0;2;360;26.4;6.6;3;0;360;8;2
74;8;0;360;80.2;6.68;6.5;359;359;7;1
74;0;1;360;26.4;6.6;3;0;359;8;1
74;1;2;360;32.6;6.64;3;0;359;8;1
75;9;0;1;86.7;6.6;7.05;1;1;7;0
75;1;1;360;33;6.4;3.05;0;1;8;0
75;2;2;360;39.7;6.8;3.4;0;1;8;0
76;0;0;360;26.4;6.6;3;0;0;8;0
76;2;1;360;39.4;6.48;3.45;0;0;8;0
76;3;2;360;46.4;6.8;3.85;0;0;8;0
77;1;0;360;33.6;6.52;3.4;0;0;8;0
77;3;1;360;45.7;6.52;3.95;0;0;8;0
77;4;2;360;53.8;6.88;4.3;0;0;8;0
78;2;0;360;40.3;6.44;3.75;0;0;8;0
78;4;1;360;52.2;6.56;4.45;0;0;8;0
78;5;2;360;60.9;6.84;4.8;0;0;8;0
79;3;0;360;46.1;6.6;4.15;0;0;8;0
79;5;1;360;59;6.68;4.95;0;0;8;0
79;6;2;360;67.1;6.76;5.3;0;0;8;0
80;4;0;360;53;6.52;4.65;0;0;8;0
80;6;1;360;65.3;6.76;5.45;0;0;8;0
80;7;2;360;73.1;6.6;5.8;0;0;8;0
81;5;0;360;58.9;6.44;5.15;0;360;8;2
81;7;1;360;72.1;6.68;5.95;0;360;8;2
81;8;2;360;79.9;6.6;6.4;360;360;8;2
82;6;0;360;65.5;6.28;5.65;0;360;8;2
82;8;1;360;79.1;6.56;6.55;360;360;8;2
82;0;2;360;26.4;6.6;3;0;360;9;2
83;7;0;360;71.9;6.32;6.15;0;0;8;0
83;9;1;0;85.9;6.64;7.2;0;0;8;0
83;1;2;360;33.2;6.44;3.15;0;0;9;0
84;8;0;360;77.9;6.32;6.85;360;360;8;2
84;0;1;360;26.4;6.6;3;0;360;9;2
84;2;2;360;39.2;6.52;3.55;0;360;9;2
85;0;0;360;26.4;6.6;3;0;0;9;0
85;1;1;360;33.6;6.48;3.15;0;0;9;0
85;3;2;360;45.3;6.52;4.05;0;0;9;0
86;1;0;360;33.2;6.6;3.25;0;0;9;0
86;2;1;360;40.1;6.52;3.5;0;0;9;0
86;4;2;360;51.5;6.56;4.55;0;0;9;0
87;2;0;360;39.5;6.68;3.6;0;0;9;0
87;3;1;360;46.1;6.56;4;0;0;9;0
87;5;2;360;58.2;6.6;5.05;0;0;9;0
88;3;0;360;45.8;6.68;4.05;0;0;9;0
88;4;1;360;52.4;6.56;4.5;0;0;9;0
88;6;2;360;64.6;6.64;5.55;0;0;9;0
89;4;0;360;52.8;6.68;4.55;0;0;9;0
89;5;1;360;58.9;6.56;5;0;0;9;0
89;7;2;360;71.2;6.76;6.05;0;0;9;0
90;5;0;360;59.7;6.72;5.05;0;360;9;2
90;6;1;360;65.6;6.6;5.5;0;360;9;2
90;8;2;360;77.7;6.72;6.7;360;360;9;2
91;6;0;360;66.1;6.76;5.55;0;0;9;0
91;7;1;360;71.5;6.56;6;0;0;9;0
91;0;2;360;26.4;6.6;3;0;0;10;0
92;7;0;360;72.8;6.8;6.05;0;360;9;2
92;8;1;360;78.3;6.72;6.75;360;360;9;2
92;1;2;360;32.9;6.52;3.1;0;360;10;2
93;8;0;360;79.7;7.04;6.7;360;360;9;2
93;0;1;360;26.4;6.6;3;0;360;10;2
93;2;2;360;39.6;6.32;3.6;0;360;10;2
94;0;0;360;26.4;6.6;3;0;0;10;0
94;1;1;360;33.1;6.52;3.15;0;0;10;0
94;3;2;360;45.7;6.32;4.05;0;0;10;0
95;1;0;360;32.9;6.52;3.05;0;0;10;0
95;2;1;360;39.8;6.6;3.5;0;0;10;0
95;4;2;360;51.8;6.24;4.5;0;0;10;0
96;2;0;360;39.5;6.52;3.4;0;0;10;0
96;3;1;360;47.3;6.6;4;0;0;10;0
96;5;2;360;57.3;6.24;5;0;0;10;0
97;3;0;360;46.1;6.6;3.75;0;0;10;0
97;4;1;360;53.3;6.56;4.45;0;0;10;0
97;6;2;360;63.2;6.32;5.5;0;0;10;0
98;4;0;360;53.2;6.6;4.25;0;0;10;0
98;5;1;360;59.6;6.44;4.95;0;0;10;0
98;7;2;360;68.9;6.36;6;0;0;10;0
99;5;0;360;60.1;6.68;4.75;0;360;10;2
99;6;1;360;65.9;6.4;5.45;0;360;10;2
99;8;2;360;75.7;6.4;6.5;360;360;10;2
100;6;0;360;67.1;6.6;5.25;0;0;10;0
100;7;1;360;72.3;6.4;5.95;0;0;10;0
100;0;2;360;26.4;6.6;3;0;0;11;0
101;7;0;360;73.3;6.68;5.75;0;360;10;2
101;8;1;360;78.5;6.52;6.6;360;360;10;2
101;1;2;360;32.9;6.52;3.15;0;360;11;2
102;8;0;360;79.6;6.72;6.25;360;360;10;2
102;0;1;360;26.4;6.6;3;0;360;11;2
102;2;2;360;39.3;6.4;3.6;0;360;11;2
103;9;0;0;86.6;6.76;6.8;0;0;10;0
103;1;1;360;33.8;6.56;3.2;0;0;11;0
