epoch;t;section;numPigs;weight;growth;sd;opt;totalCull;cycleNum;truckNum
0;0;0;360;26.4;5;3;0;0;0;0
0;0;1;360;26.4;5.8;3;0;0;0;0
0;0;2;360;26.4;6.6;3;0;0;0;0
1;1;0;360;31.3;4.96;3.15;0;0;0;0
1;1;1;360;31.6;5.84;3.2;0;0;0;0
1;1;2;360;33;6.68;3.25;0;0;0;0
2;2;0;360;36;4.88;3.65;0;0;0;0
2;2;1;360;36.9;5.88;3.65;0;0;0;0
2;2;2;360;39.5;6.6;3.65;0;0;0;0
3;3;0;360;41.1;4.88;4.15;0;0;0;0
3;3;1;360;43.4;5.88;4.1;0;0;0;0
3;3;2;360;46.4;6.68;4.15;0;0;0;0
4;4;0;360;46;5;4.65;0;0;0;0
4;4;1;360;48.9;5.8;4.6;0;0;0;0
4;4;2;360;53.8;6.64;4.65;0;0;0;0
5;5;0;360;51;5.08;5.15;0;0;0;0
5;5;1;360;54.7;5.92;5.1;0;0;0;0
5;5;2;360;60.1;6.64;5.15;0;0;0;0
6;6;0;360;56.1;5.12;5.65;0;0;0;0
6;6;1;360;60.2;6;5.6;0;0;0;0
6;6;2;360;66.2;6.64;5.65;0;0;0;0
7;7;0;360;61.6;5.04;6.15;0;0;0;0
7;7;1;360;66.3;6.08;6.1;0;0;0;0
7;7;2;360;72.5;6.72;6.15;0;0;0;0
8;8;0;360;67.6;5.12;6.7;12;48;0;1
8;8;1;360;72.8;6.12;6.75;13;48;0;1
8;8;2;360;78.9;6.44;6.75;23;48;0;1
9;9;0;348;73.3;5.2;7.2;0;0;0;0
9;9;1;347;78.9;6.28;7.3;0;0;0;0
9;9;2;337;85.4;6.36;7.3;0;0;0;0
10;10;0;348;79.8;5.12;7.7;20;39;0;1
10;10;1;347;85.2;6.4;7.8;14;39;0;1
10;10;2;337;91.7;6.44;7.9;5;39;0;1
11;11;0;328;86.3;4.96;8.25;0;0;0;0
11;11;1;333;92.1;6.4;8.3;0;0;0;0
11;11;2;332;98.4;6.44;8.5;0;0;0;0
12;12;0;328;92.4;5.08;8.85;0;0;0;0
12;12;1;333;99.1;6.32;8.95;0;0;0;0
12;12;2;332;105.6;6.44;9.05;0;0;0;0
13;13;0;328;98.6;5.2;9.35;0;0;0;0
13;13;1;333;105.8;6.32;9.45;0;0;0;0
13;13;2;332;112.3;6.56;9.6;0;0;0;0
14;14;0;328;105.4;5.28;9.85;328;993;0;5
14;14;1;333;112.4;6.24;10.05;333;993;0;5
14;14;2;332;118.2;6.6;10.1;332;993;0;5
15;0;0;360;26.4;6.6;3;0;0;1;0
15;0;1;360;26.4;6.6;3;0;0;1;0
15;0;2;360;26.4;6.6;3;0;0;1;0
16;1;0;360;33;6.72;3.4;0;0;1;0
16;1;1;360;32.3;6.64;3.25;0;0;1;0
16;1;2;360;32.9;6.64;3.15;0;0;1;0
17;2;0;360;39.3;6.64;3.65;0;0;1;0
17;2;1;360;39.2;6.56;3.6;0;0;1;0
17;2;2;360;39.5;6.68;3.5;0;0;1;0
18;3;0;360;46.2;6.52;4;0;0;1;0
18;3;1;360;45.4;6.56;4.1;0;0;1;0
18;3;2;360;46.6;6.6;3.95;0;0;1;0
19;4;0;360;52;6.52;4.5;0;0;1;0
19;4;1;360;51.7;6.68;4.6;0;0;1;0
19;4;2;360;53.5;6.56;4.45;0;0;1;0
20;5;0;360;58.6;6.48;5;0;0;1;0
20;5;1;360;59.1;6.6;5.1;0;0;1;0
20;5;2;360;60.4;6.56;4.95;0;0;1;0
21;6;0;360;64.7;6.52;5.5;0;0;1;0
21;6;1;360;65.4;6.64;5.6;0;0;1;0
21;6;2;360;67.1;6.56;5.45;0;0;1;0
22;7;0;360;71.7;6.52;6;0;0;1;0
22;7;1;360;72.3;6.6;6.1;0;0;1;0
22;7;2;360;73.5;6.64;5.95;0;0;1;0
23;8;0;360;78.4;6.44;6.6;18;58;1;1
23;8;1;360;79.2;6.4;6.65;19;58;1;1
23;8;2;360;79.8;6.72;6.5;21;58;1;1
24;9;0;342;85.1;6.52;7.2;0;0;1;0
24;9;1;341;85.8;6.2;7.25;0;0;1;0
24;9;2;339;86.8;6.76;7;0;0;1;0
25;10;0;342;92.1;6.52;7.8;0;0;1;0
25;10;1;341;91.7;6.24;7.8;0;0;1;0
25;10;2;339;93.6;6.76;7.55;0;0;1;0
26;11;0;342;99.1;6.56;8.4;0;0;1;0
26;11;1;341;97.6;6.24;8.35;0;0;1;0
26;11;2;339;100.6;6.76;8.05;0;0;1;0
27;12;0;342;106.4;6.56;9;0;0;1;0
27;12;1;341;104.3;6.36;8.9;0;0;1;0
27;12;2;339;106.7;6.64;8.55;0;0;1;0
28;13;0;342;113.6;6.56;9.55;0;0;1;0
28;13;1;341;110.9;6.4;9.45;0;0;1;0
28;13;2;339;113.2;6.56;9.1;0;0;1;0
29;14;0;342;120;6.64;10.15;342;1022;1;5
29;14;1;341;117.1;6.44;9.95;341;1022;1;5
29;14;2;339;120.1;6.6;9.6;339;1022;1;5
30;0;0;360;26.4;6.6;3;0;0;2;0
30;0;1;360;26.4;6.6;3;0;0;2;0
30;0;2;360;26.4;6.6;3;0;0;2;0
31;1;0;360;32.6;6.68;3.1;0;0;2;0
31;1;1;360;32.6;6.56;3.3;0;0;2;0
31;1;2;360;33.7;6.56;3.25;0;0;2;0
32;2;0;360;39.4;6.92;3.45;0;0;2;0
32;2;1;360;39.3;6.64;3.8;0;0;2;0
32;2;2;360;40.1;6.68;3.65;0;0;2;0
33;3;0;360;46.8;6.88;3.85;0;0;2;0
33;3;1;360;45.7;6.56;4.25;0;0;2;0
33;3;2;360;47;6.76;4.1;0;0;2;0
34;4;0;360;53.9;6.84;4.35;0;0;2;0
34;4;1;360;52.4;6.64;4.75;0;0;2;0
34;4;2;360;53.8;6.76;4.6;0;0;2;0
35;5;0;360;61.1;6.88;4.85;0;0;2;0
35;5;1;360;59.4;6.64;5.25;0;0;2;0
35;5;2;360;60.2;6.84;5.1;0;0;2;0
36;6;0;360;67.3;6.88;5.35;0;0;2;0
36;6;1;360;66;6.72;5.75;0;0;2;0
36;6;2;360;66.8;6.76;5.6;0;0;2;0
37;7;0;360;74.5;6.76;5.85;0;0;2;0
37;7;1;360;73.2;6.64;6.25;0;0;2;0
37;7;2;360;73.6;6.64;6.1;0;0;2;0
38;8;0;360;81.4;6.76;6.45;15;57;2;1
38;8;1;360;79.4;6.6;7;19;57;2;1
38;8;2;360;80.3;6.6;7.05;23;57;2;1
39;9;0;345;88.1;6.92;7;0;0;2;0
39;9;1;341;85.8;6.68;7.8;0;0;2;0
39;9;2;337;87;6.68;7.75;0;0;2;0
40;10;0;345;94.6;7;7.6;0;0;2;0
40;10;1;341;92.9;6.68;8.55;0;0;2;0
40;10;2;337;93.9;6.6;8.5;0;0;2;0
41;11;0;345;101.1;6.96;8.2;0;0;2;0
41;11;1;341;99.3;6.8;9.25;0;0;2;0
41;11;2;337;100.6;6.56;9.2;0;0;2;0
42;12;0;345;108.6;6.92;8.8;0;0;2;0
42;12;1;341;106.8;6.72;10.05;0;0;2;0
42;12;2;337;107.7;6.52;9.9;0;0;2;0
43;13;0;345;115.6;6.88;9.35;0;0;2;0
43;13;1;341;113.3;6.68;10.75;0;0;2;0
43;13;2;337;114.3;6.48;10.55;0;0;2;0
44;14;0;345;122.6;6.88;10;345;1023;2;5
44;14;1;341;119.7;6.72;11.5;341;1023;2;5
44;14;2;337;121.3;6.4;11.25;337;1023;2;5
45;0;0;360;26.4;6.6;3;0;0;3;0
45;0;1;360;26.4;6.6;3;0;0;3;0
45;0;2;360;26.4;6.6;3;0;0;3;0
46;1;0;360;32.6;6.76;3.1;0;0;3;0
46;1;1;360;33;6.56;3.1;0;0;3;0
46;1;2;360;32.8;6.6;3.25;0;0;3;0
47;2;0;360;39.6;6.76;3.45;0;0;3;0
47;2;1;360;39.9;6.44;3.35;0;0;3;0
47;2;2;360;39.6;6.64;3.5;0;0;3;0
48;3;0;360;45.8;6.84;3.95;0;0;3;0
48;3;1;360;47.1;6.44;3.8;0;0;3;0
48;3;2;360;46.2;6.68;3.95;0;0;3;0
49;4;0;360;52.6;6.88;4.45;0;0;3;0
49;4;1;360;53.5;6.36;4.3;0;0;3;0
49;4;2;360;53;6.64;4.45;0;0;3;0
50;5;0;360;60.2;6.8;4.95;0;0;3;0
50;5;1;360;60.5;6.28;4.8;0;0;3;0
50;5;2;360;59.8;6.68;4.95;0;0;3;0
51;6;0;360;67.3;6.76;5.45;0;0;3;0
51;6;1;360;66.5;6.32;5.3;0;0;3;0
51;6;2;360;66.9;6.52;5.45;0;0;3;0
52;7;0;360;74.4;6.68;5.95;0;0;3;0
52;7;1;360;73.3;6.24;5.8;0;0;3;0
52;7;2;360;73.2;6.56;5.95;0;0;3;0
53;8;0;360;80.9;6.76;6.65;16;54;3;1
53;8;1;360;78.8;6.28;6.45;18;54;3;1
53;8;2;360;79.4;6.6;6.6;20;54;3;1
54;9;0;344;88.4;6.72;7.25;0;0;3;0
54;9;1;342;85;6.28;7;0;0;3;0
54;9;2;340;86.3;6.6;7.15;0;0;3;0
55;10;0;344;95.2;6.8;7.95;0;0;3;0
55;10;1;342;90.7;6.2;7.55;0;0;3;0
55;10;2;340;93.6;6.56;7.75;0;0;3;0
56;11;0;344;102.4;6.84;8.65;0;0;3;0
56;11;1;342;96.9;6.28;8.1;0;0;3;0
56;11;2;340;100.2;6.4;8.3;0;0;3;0
57;12;0;344;109.9;6.84;9.25;0;0;3;0
57;12;1;342;103.2;6.4;8.65;0;0;3;0
57;12;2;340;106.6;6.36;8.85;0;0;3;0
58;13;0;344;116.3;6.92;9.8;0;0;3;0
58;13;1;342;110.1;6.4;9.2;0;0;3;0
58;13;2;340;113;6.36;9.4;0;0;3;0
59;14;0;344;123;7;10.5;344;1026;3;6
59;14;1;342;116.6;6.44;9.75;342;1026;3;6
59;14;2;340;119.7;6.32;10;340;1026;3;6
60;0;0;360;26.4;6.6;3;0;0;4;0
60;0;1;360;26.4;6.6;3;0;0;4;0
60;0;2;360;26.4;6.6;3;0;0;4;0
61;1;0;360;32.8;6.68;3.15;0;0;4;0
61;1;1;360;32.8;6.56;2.95;0;0;4;0
61;1;2;360;32.5;6.48;3.35;0;0;4;0
62;2;0;360;39.5;6.6;3.6;0;0;4;0
62;2;1;360;39.1;6.6;3.35;0;0;4;0
62;2;2;360;39;6.6;3.85;0;0;4;0
63;3;0;360;46;6.68;3.95;0;0;4;0
63;3;1;360;46;6.52;3.85;0;0;4;0
63;3;2;360;45.5;6.68;4.35;0;0;4;0
64;4;0;360;52.9;6.76;4.45;0;0;4;0
64;4;1;360;52.2;6.52;4.35;0;0;4;0
64;4;2;360;52;6.8;4.85;0;0;4;0
65;5;0;360;59.6;6.8;4.95;0;0;4;0
65;5;1;360;58.9;6.4;4.85;0;0;4;0
65;5;2;360;58.9;6.8;5.35;0;0;4;0
66;6;0;360;66.4;6.68;5.45;0;0;4;0
66;6;1;360;65;6.36;5.35;0;0;4;0
66;6;2;360;66.1;6.84;5.85;0;0;4;0
67;7;0;360;73.3;6.72;5.95;0;0;4;0
67;7;1;360;71.4;6.36;5.85;0;0;4;0
67;7;2;360;73.2;6.8;6.35;0;0;4;0
68;8;0;360;79.5;6.56;6.6;18;59;4;1
68;8;1;360;77.6;6.36;6.5;19;59;4;1
68;8;2;360;79.9;6.68;7.1;22;59;4;1
69;9;0;342;86;6.68;7.1;0;0;4;0
69;9;1;341;84;6.44;7.1;0;0;4;0
69;9;2;338;85.9;6.6;7.85;0;0;4;0
70;10;0;342;92.7;6.72;7.75;0;0;4;0
70;10;1;341;90.3;6.52;7.65;0;0;4;0
70;10;2;338;92.4;6.52;8.5;0;0;4;0
71;11;0;342;99;6.76;8.25;0;0;4;0
71;11;1;341;96.7;6.44;8.3;0;0;4;0
71;11;2;338;98.5;6.32;9.3;0;0;4;0
72;12;0;342;106.3;6.88;8.75;0;0;4;0
72;12;1;341;103.2;6.52;8.85;0;0;4;0
72;12;2;338;104.8;6.28;10;0;0;4;0
73;13;0;342;113.9;6.76;9.4;0;0;4;0
73;13;1;341;109.6;6.56;9.45;0;0;4;0
73;13;2;338;112.1;6.36;10.6;0;0;4;0
74;14;0;342;120.8;6.68;9.9;342;1021;4;5
74;14;1;341;116.5;6.6;10.05;341;1021;4;5
74;14;2;338;118.9;6.32;11.3;338;1021;4;5
75;0;0;360;26.4;6.6;3;0;0;5;0
75;0;1;360;26.4;6.6;3;0;0;5;0
75;0;2;360;26.4;6.6;3;0;0;5;0
76;1;0;360;32.4;6.76;3.1;0;0;5;0
76;1;1;360;33.2;6.72;3.05;0;0;5;0
76;1;2;360;32.5;6.52;3.25;0;0;5;0
77;2;0;360;39.4;6.68;3.35;0;0;5;0
77;2;1;360;39.6;6.8;3.4;0;0;5;0
77;2;2;360;38.3;6.36;3.65;0;0;5;0
78;3;0;360;45.5;6.56;3.8;0;0;5;0
78;3;1;360;46.4;6.72;3.9;0;0;5;0
78;3;2;360;45.1;6.36;4.1;0;0;5;0
79;4;0;360;52;6.4;4.3;0;0;5;0
79;4;1;360;53.3;6.64;4.4;0;0;5;0
79;4;2;360;51.7;6.4;4.6;0;0;5;0
80;5;0;360;58.6;6.48;4.8;0;0;5;0
80;5;1;360;59.9;6.48;4.9;0;0;5;0
80;5;2;360;57.6;6.36;5.1;0;0;5;0
81;6;0;360;64.7;6.56;5.3;0;0;5;0
81;6;1;360;66.8;6.36;5.4;0;0;5;0
81;6;2;360;63.6;6.36;5.6;0;0;5;0
82;7;0;360;71.3;6.56;5.8;0;0;5;0
82;7;1;360;73.1;6.4;5.9;0;0;5;0
82;7;2;360;69.8;6.4;6.1;0;0;5;0
83;8;0;360;77.5;6.6;6.45;19;52;5;1
83;8;1;360;79;6.44;6.4;18;52;5;1
83;8;2;360;76.2;6.44;6.75;15;52;5;1
84;9;0;341;83.7;6.6;7;0;0;5;0
84;9;1;342;85.1;6.44;7;0;0;5;0
84;9;2;345;82.6;6.44;7.35;0;0;5;0
85;10;0;341;90.7;6.6;7.55;0;0;5;0
85;10;1;342;91.5;6.44;7.55;0;0;5;0
85;10;2;345;89.1;6.52;7.95;0;0;5;0
86;11;0;341;97.2;6.64;8.15;0;0;5;0
86;11;1;342;97.9;6.48;8.05;0;0;5;0
86;11;2;345;95.6;6.44;8.55;0;0;5;0
87;12;0;341;103.7;6.64;8.75;0;0;5;0
87;12;1;342;103.8;6.44;8.65;0;0;5;0
87;12;2;345;102.1;6.44;9.15;0;0;5;0
88;13;0;341;110.7;6.76;9.3;0;0;5;0
88;13;1;342;110.1;6.32;9.2;0;0;5;0
88;13;2;345;109;6.68;9.75;0;0;5;0
89;14;0;341;118;6.56;9.85;341;1028;5;6
89;14;1;342;116.6;6.24;9.75;342;1028;5;6
89;14;2;345;115.8;6.68;10.35;345;1028;5;6
90;0;0;360;26.4;6.6;3;0;0;6;0
90;0;1;360;26.4;6.6;3;0;0;6;0
90;0;2;360;26.4;6.6;3;0;0;6;0
91;1;0;360;32.9;6.52;3.05;0;0;6;0
91;1;1;360;33;6.68;3.2;0;0;6;0
91;1;2;360;32.9;6.52;3.05;0;0;6;0
92;2;0;360;39.5;6.52;3.4;0;0;6;0
92;2;1;360;40.6;6.68;3.65;0;0;6;0
92;2;2;360;38.7;6.52;3.55;0;0;6;0
93;3;0;360;46.1;6.6;3.75;0;0;6;0
93;3;1;360;46.5;6.64;4.1;0;0;6;0
93;3;2;360;44.8;6.6;4.05;0;0;6;0
94;4;0;360;53.2;6.6;4.25;0;0;6;0
94;4;1;360;52.9;6.52;4.6;0;0;6;0
94;4;2;360;50.8;6.64;4.55;0;0;6;0
95;5;0;360;60.1;6.68;4.75;0;0;6;0
95;5;1;360;59.4;6.48;5.1;0;0;6;0
95;5;2;360;57.6;6.68;5.05;0;0;6;0
96;6;0;360;67.1;6.6;5.25;0;0;6;0
96;6;1;360;65.9;6.48;5.6;0;0;6;0
96;6;2;360;63.9;6.76;5.55;0;0;6;0
97;7;0;360;73.5;6.72;5.75;0;0;6;0
97;7;1;360;72.2;6.36;6.1;0;0;6;0
97;7;2;360;70.4;6.76;6.05;0;0;6;0
98;8;0;360;80.1;6.56;6.35;17;58;6;1
98;8;1;360;78.7;6.4;6.75;24;58;6;1
98;8;2;360;78.1;6.72;6.7;17;58;6;1
99;9;0;343;86.6;6.68;6.85;0;0;6;0
99;9;1;336;85;6.36;7.5;0;0;6;0
99;9;2;343;84.5;6.68;7.25;0;0;6;0
100;10;0;343;92.9;6.72;7.35;0;0;6;0
100;10;1;336;91.8;6.32;8.15;0;0;6;0
100;10;2;343;91.8;6.6;7.8;0;0;6;0
101;11;0;343;99.6;6.64;7.85;0;0;6;0
101;11;1;336;97.8;6.24;8.8;0;0;6;0
101;11;2;343;98.4;6.56;8.35;0;0;6;0
102;12;0;343;106;6.68;8.35;0;0;6;0
102;12;1;336;104.5;6.08;9.5;0;0;6;0
102;12;2;343;105.2;6.48;8.85;0;0;6;0
103;13;0;343;112.8;6.6;8.9;0;0;6;0
