epoch;t;section;numPigs;weight;growth;sd;opt;totalCull;cycleNum;truckNum
0;0;0;360;26.4;5;3;0;0;0;0
0;0;1;360;26.4;5.8;3;0;0;0;0
0;0;2;360;26.4;6.6;3;0;0;0;0
1;1;0;360;31.3;4.96;3.15;0;0;0;0
1;1;1;360;31.6;5.84;3.2;0;0;0;0
1;1;2;360;33;6.68;3.25;0;0;0;0
2;2;0;360;36;4.88;3.65;0;0;0;0
2;2;1;360;36.9;5.88;3.65;0;0;0;0
2;2;2;360;39.5;6.6;3.65;0;0;0;0
3;3;0;360;41.1;4.88;4.15;0;0;0;0
3;3;1;360;43.4;5.88;4.1;0;0;0;0
3;3;2;360;46.4;6.68;4.15;0;0;0;0
4;4;0;360;46;5;4.65;0;0;0;0
4;4;1;360;48.9;5.8;4.6;0;0;0;0
4;4;2;360;53.8;6.64;4.65;0;0;0;0
5;5;0;360;51;5.08;5.15;0;0;0;0
5;5;1;360;54.7;5.92;5.1;0;0;0;0
5;5;2;360;60.1;6.64;5.15;0;0;0;0
6;6;0;360;56.1;5.12;5.65;0;0;0;0
6;6;1;360;60.2;6;5.6;0;0;0;0
6;6;2;360;66.2;6.64;5.65;0;0;0;0
7;7;0;360;61.6;5.04;6.15;0;0;0;0
7;7;1;360;66.3;6.08;6.1;0;0;0;0
7;7;2;360;72.5;6.72;6.15;0;0;0;0
8;8;0;360;67.6;5.12;6.7;91;409;0;2
8;8;1;360;72.8;6.12;6.75;134;409;0;2
8;8;2;360;78.9;6.44;6.75;184;409;0;2
9;9;0;269;73.3;5.2;7.2;50;167;0;1
9;9;1;226;78.9;6.28;7.3;58;167;0;1
9;9;2;176;85.4;6.36;7.3;59;167;0;1
10;10;0;219;79.8;5.12;7.7;53;123;0;1
10;10;1;168;85.2;6.4;7.8;37;123;0;1
10;10;2;117;91.7;6.44;7.9;33;123;0;1
11;11;0;166;86.3;4.96;8.25;43;167;0;1
11;11;1;131;92.1;6.4;8.3;40;167;0;1
11;11;2;84;98.4;6.44;8.5;84;167;0;1
12;12;0;123;92.4;5.08;8.85;29;120;0;1
12;12;1;91;99.1;6.32;8.95;91;120;0;1
12;0;2;360;26.4;6.6;3;0;120;1;1
13;13;0;94;99.1;5.16;9.4;94;94;0;1
13;0;1;360;26.4;5.8;3;0;94;1;1
13;1;2;360;32.7;6.72;3.1;0;94;1;1
14;0;0;360;26.4;5;3;0;0;1;0
14;1;1;360;31.9;5.76;3.25;0;0;1;0
14;2;2;360;40;6.84;3.55;0;0;1;0
15;1;0;360;31.3;5.08;3.1;0;0;1;0
15;2;1;360;37.3;5.72;3.6;0;0;1;0
15;3;2;360;46.1;6.88;4.05;0;0;1;0
16;2;0;360;36.1;5.2;3.55;0;0;1;0
16;3;1;360;42.4;5.76;4.05;0;0;1;0
16;4;2;360;53.1;6.92;4.55;0;0;1;0
17;3;0;360;40.8;5.12;4.05;0;0;1;0
17;4;1;360;48.3;5.72;4.55;0;0;1;0
17;5;2;360;60;6.92;5.05;0;0;1;0
18;4;0;360;46.2;5.04;4.55;0;0;1;0
18;5;1;360;53.6;5.72;5.05;0;0;1;0
18;6;2;360;67.2;6.8;5.55;0;0;1;0
19;5;0;360;50.7;5.12;5.05;0;0;1;0
19;6;1;360;59.1;5.84;5.55;0;0;1;0
19;7;2;360;74.3;6.76;6.05;0;0;1;0
20;6;0;360;55.9;5.12;5.55;0;205;1;1
20;7;1;360;65.8;5.8;6.05;0;205;1;1
20;8;2;360;81.3;6.76;6.7;205;205;1;1
21;7;0;360;61.2;5.16;6.05;0;189;1;1
21;8;1;360;71.5;5.84;6.8;135;189;1;1
21;9;2;155;88.3;6.76;7.3;54;189;1;1
22;8;0;360;66.7;5.2;6.65;70;205;1;1
22;9;1;225;77.8;5.84;7.5;34;205;1;1
22;10;2;101;95.1;6.8;7.9;101;205;1;1
23;9;0;290;72.9;5.12;7.25;64;122;1;1
23;10;1;191;83.9;5.72;8;58;122;1;1
23;0;2;360;26.4;6.6;3;0;122;2;1
24;10;0;226;79.1;5.28;7.85;54;92;1;1
24;11;1;133;90.6;5.84;8.65;38;92;1;1
24;1;2;360;33.2;6.4;3.15;0;92;2;1
25;11;0;172;86.1;5.32;8.45;42;64;1;1
25;12;1;95;97.2;5.84;9.15;22;64;1;1
25;2;2;360;39.5;6.44;3.6;0;64;2;1
26;12;0;130;92.6;5.36;9.05;32;105;1;1
26;13;1;73;104.4;5.88;9.75;73;105;1;1
26;3;2;360;45.9;6.44;3.95;0;105;2;1
27;13;0;98;99.6;5.4;9.65;98;98;1;1
27;0;1;360;26.4;5.8;3;0;98;2;1
27;4;2;360;53.3;6.48;4.45;0;98;2;1
28;0;0;360;26.4;5;3;0;0;2;0
28;1;1;360;32.5;5.92;3.05;0;0;2;0
28;5;2;360;58.9;6.36;4.95;0;0;2;0
29;1;0;360;31.9;5.04;3.35;0;0;2;0
29;2;1;360;38.5;5.96;3.5;0;0;2;0
29;6;2;360;65.2;6.32;5.45;0;0;2;0
30;2;0;360;36.8;5.16;3.75;0;0;2;0
30;3;1;360;43.8;6.04;4;0;0;2;0
30;7;2;360;71.8;6.36;5.95;0;0;2;0
31;3;0;360;41.9;5.24;4.25;0;201;2;1
31;4;1;360;49.5;6;4.5;0;201;2;1
31;8;2;360;79;6.32;6.5;201;201;2;1
32;4;0;360;47.2;5.48;4.75;0;36;2;1
32;5;1;360;55.8;6.12;5;0;36;2;1
32;9;2;159;85.1;6.44;7.1;36;36;2;1
33;5;0;360;53.2;5.44;5.25;0;44;2;1
33;6;1;360;61.5;6.04;5.5;0;44;2;1
33;10;2;123;92;6.48;7.7;44;44;2;1
34;6;0;360;58.8;5.44;5.75;0;79;2;1
34;7;1;360;67.7;6.12;6;0;79;2;1
34;11;2;79;98.8;6.48;8.25;79;79;2;1
35;7;0;360;64.3;5.48;6.25;0;157;2;1
35;8;1;360;74.3;6.12;6.6;157;157;2;1
35;0;2;360;26.4;6.6;3;0;157;3;1
36;8;0;360;69.8;5.6;6.9;121;167;2;1
36;9;1;203;79.9;6.12;7.25;46;167;2;1
36;1;2;360;33;6.68;3.1;0;167;3;1
37;9;0;239;75.2;5.52;7.65;47;90;2;1
37;10;1;157;86.6;6;7.75;43;90;2;1
37;2;2;360;40.2;6.6;3.55;0;90;3;1
38;10;0;192;81.5;5.52;8.25;41;71;2;1
38;11;1;114;93.2;6.04;8.3;30;71;2;1
38;3;2;360;46.3;6.56;4.05;0;71;3;1
39;11;0;151;88.5;5.52;9.05;36;120;2;1
39;12;1;84;100;6.2;8.85;84;120;2;1
39;4;2;360;52.7;6.64;4.55;0;120;3;1
40;12;0;115;95;5.6;9.65;28;28;2;1
40;0;1;360;26.4;5.8;3;0;28;3;1
40;5;2;360;59.1;6.84;5.05;0;28;3;1
41;13;0;87;101.9;5.68;10.3;87;87;2;1
41;1;1;360;32.2;5.72;3.25;0;87;3;1
41;6;2;360;65.4;6.84;5.55;0;87;3;1
42;0;0;360;26.4;5;3;0;0;3;0
42;2;1;360;37.5;5.84;3.6;0;0;3;0
42;7;2;360;72.4;6.8;6.05;0;0;3;0
43;1;0;360;31.6;4.96;3.15;0;196;3;1
43;3;1;360;43.7;5.76;4.1;0;196;3;1
43;8;2;360;79.5;6.76;6.65;196;196;3;1
44;2;0;360;36.6;4.92;3.45;0;44;3;1
44;4;1;360;49.4;5.72;4.55;0;44;3;1
44;9;2;164;86.2;6.72;7.15;44;44;3;1
45;3;0;360;41.3;5;3.9;0;44;3;1
45;5;1;360;55;5.76;5.05;0;44;3;1
45;10;2;120;93.1;6.64;7.7;44;44;3;1
46;4;0;360;46.3;5.16;4.4;0;76;3;1
46;6;1;360;60.9;5.72;5.55;0;76;3;1
46;11;2;76;99.7;6.64;8.2;76;76;3;1
47;5;0;360;51.7;5.16;4.85;0;0;3;0
47;7;1;360;67;5.6;6.05;0;0;3;0
47;0;2;360;26.4;6.6;3;0;0;4;0
48;6;0;360;56.7;5.2;5.35;0;148;3;1
48;8;1;360;72.5;5.72;6.7;148;148;3;1
48;1;2;360;33.7;6.6;3.3;0;148;4;1
49;7;0;360;61.8;5.24;5.85;0;44;3;1
49;9;1;212;78.5;5.8;7.25;44;44;3;1
49;2;2;360;40.3;6.52;3.75;0;44;4;1
50;8;0;360;67.5;5.24;6.4;94;145;3;1
50;10;1;168;85.3;5.72;7.8;51;145;3;1
50;3;2;360;47.5;6.44;4.1;0;145;4;1
51;9;0;266;73.3;5.28;7;48;75;3;1
51;11;1;117;91.2;5.76;8.4;27;75;3;1
51;4;2;360;53.7;6.44;4.6;0;75;4;1
52;10;0;218;79.7;5.2;7.65;57;147;3;1
52;12;1;90;97.8;5.72;8.95;90;147;3;1
52;5;2;360;60.7;6.36;5.1;0;147;4;1
53;11;0;161;85.9;5.28;8.2;34;34;3;1
53;0;1;360;26.4;5.8;3;0;34;4;1
53;6;2;360;66.9;6.44;5.6;0;34;4;1
54;12;0;127;92.3;5.32;8.8;33;33;3;1
54;1;1;360;31.6;5.92;3.15;0;33;4;1
54;7;2;360;74;6.4;6.1;0;33;4;1
55;13;0;94;99.2;5.4;9.35;94;304;3;2
55;2;1;360;37.6;5.92;3.45;0;304;4;2
55;8;2;360;80.5;6.52;6.75;210;304;4;2
56;0;0;360;26.4;5;3;0;49;4;1
56;3;1;360;43;5.84;3.9;0;49;4;1
56;9;2;150;87.7;6.52;7.4;49;49;4;1
57;1;0;360;32;5.04;3.3;0;31;4;1
57;4;1;360;48.6;5.88;4.4;0;31;4;1
57;10;2;101;94.1;6.32;8.1;31;31;4;1
58;2;0;360;37.9;5.04;3.6;0;70;4;1
58;5;1;360;53.9;6;4.9;0;70;4;1
58;11;2;70;100.3;6.28;8.75;70;70;4;1
59;3;0;360;42.6;5.24;4;0;0;4;0
59;6;1;360;59.9;6.04;5.4;0;0;4;0
59;0;2;360;26.4;6.6;3;0;0;5;0
60;4;0;360;47.6;5.24;4.45;0;0;4;0
60;7;1;360;65.6;6.16;5.9;0;0;4;0
60;1;2;360;32.5;6.64;3.1;0;0;5;0
61;5;0;360;52.8;5.2;4.95;0;129;4;1
61;8;1;360;71.4;6.24;6.55;129;129;4;1
61;2;2;360;38.9;6.6;3.35;0;129;5;1
62;6;0;360;57.7;5.08;5.45;0;58;4;1
62;9;1;231;77.7;6.12;7.2;58;58;4;1
62;3;2;360;45.3;6.64;3.85;0;58;5;1
63;7;0;360;62.9;5.2;5.95;0;40;4;1
63;10;1;173;84;6.2;7.7;40;40;4;1
63;4;2;360;52.3;6.56;4.35;0;40;5;1
64;8;0;360;68.4;5.28;6.55;110;149;4;1
64;11;1;133;90.8;6.28;8.25;39;149;4;1
64;5;2;360;58.4;6.56;4.85;0;149;5;1
65;9;0;250;73.6;5.4;7.25;38;132;4;0
65;12;1;94;97.5;6.32;8.75;78;132;4;0
65;6;2;360;65;6.44;5.35;0;132;5;0
66;10;0;212;80;5.44;7.9;51;67;4;1
66;13;1;16;104.3;6.2;9.3;16;67;4;1
66;7;2;360;71.1;6.4;5.85;0;67;5;1
67;11;0;161;86.4;5.52;8.55;31;205;4;1
67;0;1;360;26.4;5.8;3;0;205;5;1
67;8;2;360;77.9;6.44;6.45;174;205;5;1
68;12;0;130;93.1;5.52;9.15;43;111;4;1
68;1;1;360;33;5.8;3.2;0;111;5;1
68;9;2;186;84.4;6.28;7;68;111;5;1
69;13;0;87;99.5;5.52;9.8;87;116;4;1
69;2;1;360;38.5;5.72;3.65;0;116;5;1
69;10;2;118;90.4;6.4;7.55;29;116;5;1
70;0;0;360;26.4;5;3;0;89;5;1
70;3;1;360;44.2;5.8;4.15;0;89;5;1
70;11;2;89;96.4;6.32;8.15;89;89;5;1
71;1;0;360;31.7;5.08;3.2;0;0;5;0
71;4;1;360;50.2;5.84;4.6;0;0;5;0
71;0;2;360;26.4;6.6;3;0;0;6;0
72;2;0;360;36.9;5.04;3.55;0;0;5;0
72;5;1;360;55.6;5.88;5.1;0;0;5;0
72;1;2;360;32.6;6.52;3.1;0;0;6;0
73;3;0;360;41.6;4.84;4.05;0;0;5;0
73;6;1;360;62.1;6.04;5.6;0;0;5;0
73;2;2;360;39.3;6.6;3.55;0;0;6;0
74;4;0;360;46.5;4.88;4.55;0;0;5;0
74;7;1;360;68.7;5.96;6.1;0;0;5;0
74;3;2;360;45.8;6.64;4.05;0;0;6;0
75;5;0;360;52.1;5;5.05;0;171;5;1
75;8;1;360;74.9;5.88;6.6;171;171;5;1
75;4;2;360;52.4;6.68;4.55;0;171;6;1
76;6;0;360;57.5;4.96;5.55;0;37;5;1
76;9;1;189;80.3;6.04;7.1;37;37;5;1
76;5;2;360;59.4;6.8;5.05;0;37;6;1
77;7;0;360;62;4.88;6.05;0;41;5;1
77;10;1;152;86.8;5.96;7.65;41;41;5;1
77;6;2;360;65.8;6.88;5.55;0;41;6;1
78;8;0;360;66.4;4.88;6.65;85;113;5;1
78;11;1;111;92.7;5.88;8.15;28;113;5;1
78;7;2;360;72.9;6.8;6.05;0;113;6;1
79;9;0;275;72.5;4.92;7.35;51;337;5;2
79;12;1;83;99.3;5.8;8.65;83;337;5;2
79;8;2;360;80;6.68;6.75;203;337;6;2
80;10;0;224;78.5;5;7.9;47;96;5;1
80;0;1;360;26.4;5.8;3;0;96;6;1
80;9;2;157;87;6.76;7.4;49;96;6;1
81;11;0;177;85.1;4.92;8.5;45;78;5;1
81;1;1;360;32.1;5.8;3.25;0;78;6;1
81;10;2;108;93.3;6.84;8.1;33;78;6;1
82;12;0;132;91.6;4.92;9;32;107;5;1
82;2;1;360;37.4;5.8;3.7;0;107;6;1
82;11;2;75;100.2;6.84;8.65;75;107;6;1
83;13;0;100;97.9;4.96;9.55;30;30;5;1
83;3;1;360;43.2;5.84;4.2;0;30;6;1
83;0;2;360;26.4;6.6;3;0;30;7;1
84;14;0;70;104.9;5.04;10.1;70;70;5;1
84;4;1;360;48.7;5.88;4.7;0;70;6;1
84;1;2;360;32.7;6.64;3.3;0;70;7;1
85;0;0;360;26.4;5;3;0;0;6;0
85;5;1;360;53.9;5.88;5.2;0;0;6;0
85;2;2;360;39.1;6.64;3.75;0;0;7;0
86;1;0;360;31.5;5.04;3.25;0;0;6;0
86;6;1;360;60.2;5.88;5.7;0;0;6;0
86;3;2;360;45.5;6.64;4.25;0;0;7;0
87;2;0;360;36.5;5.16;3.6;0;0;6;0
87;7;1;360;66.4;5.92;6.2;0;0;6;0
87;4;2;360;51.9;6.68;4.7;0;0;7;0
88;3;0;360;41.6;5.12;4.05;0;143;6;1
88;8;1;360;72.3;5.96;6.85;143;143;6;1
88;5;2;360;57.9;6.64;5.2;0;143;7;1
89;4;0;360;46.7;5.16;4.55;0;50;6;1
89;9;1;217;78.6;6.12;7.5;50;50;6;1
89;6;2;360;64.4;6.56;5.7;0;50;7;1
90;5;0;360;51.9;5.4;5.05;0;41;6;1
90;10;1;167;85.1;5.92;8.2;41;41;6;1
90;7;2;360;71.1;6.48;6.2;0;41;7;1
91;6;0;360;57.1;5.4;5.55;0;205;6;1
91;11;1;126;91.4;5.84;8.7;24;205;6;1
91;8;2;360;77.7;6.52;7;181;205;7;1
92;7;0;360;62.6;5.32;6.05;0;95;6;1
92;12;1;102;97.8;5.84;9.2;35;95;6;1
92;9;2;179;85.3;6.52;7.6;60;95;7;1
93;8;0;360;67.8;5.36;6.7;97;196;6;1
93;13;1;67;104.5;5.92;9.75;67;196;6;1
93;10;2;119;91.4;6.48;8.2;32;196;7;1
94;9;0;263;74;5.44;7.25;46;133;6;1
94;0;1;360;26.4;5.8;3;0;133;7;1
94;11;2;87;98.4;6.48;8.85;87;133;7;1
95;10;0;217;80.3;5.4;7.9;58;58;6;1
95;1;1;360;31.7;5.84;3.15;0;58;7;1
95;0;2;360;26.4;6.6;3;0;58;8;1
96;11;0;159;86.8;5.48;8.45;40;40;6;1
96;2;1;360;37.6;5.8;3.55;0;40;7;1
96;1;2;360;33.1;6.64;3.1;0;40;8;1
97;12;0;119;93.4;5.4;9.05;30;30;6;1
97;3;1;360;43.4;5.8;3.9;0;30;7;1
97;2;2;360;39.4;6.72;3.55;0;30;8;1
98;13;0;89;99.9;5.56;9.6;89;89;6;1
98;4;1;360;49;5.72;4.4;0;89;7;1
98;3;2;360;45.8;6.76;3.95;0;89;8;1
99;0;0;360;26.4;5;3;0;0;7;0
99;5;1;360;54.8;5.6;4.9;0;0;7;0
99;4;2;360;52.6;6.8;4.45;0;0;8;0
100;1;0;360;31.9;4.96;3.2;0;0;7;0
100;6;1;360;60.4;5.72;5.4;0;0;7;0
100;5;2;360;59.1;6.76;4.95;0;0;8;0
101;2;0;360;36.6;4.92;3.5;0;0;7;0
101;7;1;360;65.8;5.8;5.9;0;0;7;0
101;6;2;360;66.4;6.68;5.45;0;0;8;0
102;3;0;360;41.9;4.92;4;0;141;7;1
102;8;1;360;71.8;5.84;6.6;141;141;7;1
102;7;2;360;72.9;6.6;5.95;0;141;8;1
103;4;0;360;46.6;4.92;4.5;0;205;7;1
103;9;1;219;77.4;5.88;7.25;22;205;7;1
