meanReward;sdReward;meanFeed;sdFeed;meanavgWeight;sdavgWeight;meancycle;sdcycle;meancycleLength;sdcycleLength;meantruckNum;sdtruckNum;meanmrketNum;sdmrketNum;meantruckUtilize;sdtruckUtilize
main;;;;;;;;;;;;;;;
1951.92;478.617;13280.4;487.908;916.298;0.162019;30.44;0.671498;118.362;0.0948654;73.84;631.292;11391.1;220.263;0.757464;0.05999
;;;;;;;;;;;;;;;
feed-0.8;;;;;;;;;;;;;;;
2981.75;302.879;13287.8;790.188;92.042;0.154534;30.04;0.196946;119.686;0.0824334;72.18;549.082;11096;190.058;0.75381;0.0537868
;;;;;;;;;;;;;;;
feed-1.2;;;;;;;;;;;;;;;
1226.86;280.207;13248.9;455.917;912.791;0.155012;31.13;0.786952;117.181;0.0838831;77;598.314;11624;156.244;0.740712;0.0571076
;;;;;;;;;;;;;;;
pork-0.8;;;;;;;;;;;;;;;
-1278.25;200.644;17335.1;56.849;123.012;0.408464;24;0;15;0;53.42;0.976284;8640;0;0.789223;0.0144335
;;;;;;;;;;;;;;;
pork-1.2;;;;;;;;;;;;;;;
3746.57;927.057;15363.2;429.314;85.923;0.190613;38.99;0.1;900.822;0.0158732;83.85;0.5;15120.6;310.182;0.879684;0.00532171
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
