"t";"iL";"iG";"iSd";"slope";"intercept"
9;0;0;0;538,044;-5629,301
9;0;1;0;530,748;-5632,198
9;0;2;0;523,379;-5635,8
9;0;3;0;518,988;-5636,936
9;0;4;0;519,904;-5634,496
9;0;5;0;524,995;-5634,973
9;0;0;1;535,499;-5665,219
9;0;1;1;527,95;-5666,108
9;0;2;1;520,564;-5668,141
9;0;3;1;516,639;-5668,066
9;0;4;1;518,128;-5660,852
9;0;5;1;523,543;-5654,587
9;0;0;2;535,78;-5706,288
9;0;1;2;528,652;-5709,877
9;0;2;2;521,524;-5713,82
9;0;3;2;517,259;-5712,664
9;0;4;2;518,126;-5703,825
9;0;5;2;523,08;-5696,616
9;0;0;3;532,567;-5780,625
9;0;1;3;525,448;-5784,954
9;0;2;3;518,459;-5791,555
9;0;3;3;514,605;-5795,062
9;0;4;3;516,097;-5786,724
9;0;5;3;521,607;-5771,958
9;0;0;4;530,638;-5907,524
9;0;1;4;523,712;-5912,048
9;0;2;4;516,891;-5916,836
9;0;3;4;513,012;-5914,39
9;0;4;4;514,236;-5896,98
9;0;5;4;519,4;-5874,855
9;0;0;5;530,747;-5958,766
9;0;1;5;524,009;-5964,142
9;0;2;5;517,362;-5969,06
9;0;3;5;513,592;-5965,22
9;0;4;5;514,907;-5945,15
9;0;5;5;519,971;-5919,693
9;0;0;6;530,952;-5958,932
9;0;1;6;524,247;-5964,518
9;0;2;6;517,695;-5970,056
9;0;3;6;514,16;-5967,787
9;0;4;6;515,666;-5949,12
9;0;5;6;520,603;-5923,131
9;0;0;7;530,782;-5956,824
9;0;1;7;524,077;-5962,405
9;0;2;7;517,53;-5967,936
9;0;3;7;514,006;-5965,656
9;0;4;7;515,519;-5946,903
9;0;5;7;520,448;-5920,724
9;0;0;8;530,887;-5956,136
9;0;1;8;524,182;-5961,717
9;0;2;8;517,635;-5967,248
9;0;3;8;514,112;-5964,968
9;0;4;8;515,624;-5946,214
9;0;5;8;520,553;-5920,035
9;1;0;0;537,647;-5629,198
9;1;1;0;530,482;-5633,026
9;1;2;0;524,209;-5640,46
9;1;3;0;523,236;-5647,939
9;1;4;0;528,806;-5650,553
9;1;5;0;536,918;-5654,242
9;1;0;1;535,172;-5665,384
9;1;1;1;527,824;-5667,594
9;1;2;1;521,711;-5674,226
9;1;3;1;521,209;-5679,017
9;1;4;1;527,144;-5673,529
9;1;5;1;535,533;-5670,902
9;1;0;2;535,415;-5706,574
9;1;1;2;528,428;-5711,078
9;1;2;2;522,363;-5718,346
9;1;3;2;521,36;-5721,461
9;1;4;2;526,796;-5715,541
9;1;5;2;534,812;-5711,795
9;1;0;3;532,238;-5780,419
9;1;1;3;525,378;-5786,434
9;1;2;3;519,72;-5798,171
9;1;3;3;519,315;-5806,068
9;1;4;3;525,316;-5795,565
9;1;5;3;533,639;-5779,749
9;1;0;4;530,137;-5907,494
9;1;1;4;523,446;-5913,503
9;1;2;4;517,87;-5922,411
9;1;3;4;517,278;-5922,117
9;1;4;4;522,888;-5901,25
9;1;5;4;530,943;-5878,919
9;1;0;5;530,318;-5959,054
9;1;1;5;523,765;-5965,576
9;1;2;5;518,26;-5973,754
9;1;3;5;517,805;-5971,573
9;1;4;5;523,636;-5948,354
9;1;5;5;531,583;-5923,482
9;1;0;6;530,541;-5959,276
9;1;1;6;524,127;-5966,724
9;1;2;6;518,9;-5976,781
9;1;3;6;518,623;-5976,097
9;1;4;6;524,24;-5952,037
9;1;5;6;531,831;-5925,294
9;1;0;7;530,782;-5957,33
9;1;1;7;524,399;-5964,856
9;1;2;7;519,198;-5974,935
9;1;3;7;518,887;-5973,911
9;1;4;7;524,445;-5949,421
9;1;5;7;532,025;-5922,599
9;1;0;8;530,523;-5956,652
9;1;1;8;524,14;-5964,178
9;1;2;8;518,94;-5974,257
9;1;3;8;518,628;-5973,232
9;1;4;8;524,187;-5948,741
9;1;5;8;531,766;-5921,919
9;2;0;0;537,314;-5630,929
9;2;1;0;531,19;-5639,885
9;2;2;0;528,548;-5657,659
9;2;3;0;532,995;-5671,787
9;2;4;0;541,916;-5674,628
9;2;5;0;551,235;-5679,462
9;2;0;1;534,909;-5667,804
9;2;1;1;528,862;-5676,626
9;2;2;1;526,549;-5693,773
9;2;3;1;531,105;-5700,444
9;2;4;1;540,234;-5693,602
9;2;5;1;549,628;-5694,192
9;2;0;2;535,099;-5708,129
9;2;1;2;529,205;-5717,949
9;2;2;2;526,596;-5733,948
9;2;3;2;530,804;-5740,752
9;2;4;2;539,762;-5735,442
9;2;5;2;548,859;-5734,011
9;2;0;3;532,162;-5783,889
9;2;1;3;526,698;-5797,287
9;2;2;3;524,771;-5819,495
9;2;3;3;529,378;-5826,592
9;2;4;3;538,47;-5808,676
9;2;5;3;547,524;-5793,117
9;2;0;4;530,139;-5911,054
9;2;1;4;524,771;-5923,677
9;2;2;4;522,712;-5940,386
9;2;3;4;526,945;-5936,718
9;2;4;4;535,814;-5909,975
9;2;5;4;545,006;-5891,121
9;2;0;5;530,216;-5961,556
9;2;1;5;524,865;-5973,718
9;2;2;5;522,92;-5989,263
9;2;3;5;527,634;-5984,977
9;2;4;5;536,79;-5956,706
9;2;5;5;545,566;-5935,471
9;2;0;6;530,714;-5963,849
9;2;1;6;525,787;-5978,803
9;2;2;6;524,087;-5996,374
9;2;3;6;528,427;-5990,538
9;2;4;6;536,986;-5958,988
9;2;5;6;545,517;-5936,34
9;2;0;7;530,972;-5963,167
9;2;1;7;526,141;-5978,668
9;2;2;7;524,176;-5994,629
9;2;3;7;528,175;-5986,638
9;2;4;7;536,744;-5955,115
9;2;5;7;545,448;-5933,523
9;2;0;8;531,179;-5963,662
9;2;1;8;526,143;-5977,863
9;2;2;8;524,177;-5993,819
9;2;3;8;528,174;-5985,823
9;2;4;8;536,743;-5954,3
9;2;5;8;545,449;-5932,711
9;3;0;0;537,995;-5638,757
9;3;1;0;535,27;-5661,439
9;3;2;0;538,53;-5691,286
9;3;3;0;547,051;-5703,356
9;3;4;0;557,248;-5703,094
9;3;5;0;567,478;-5711,961
9;3;0;1;536,221;-5679,437
9;3;1;1;533,755;-5702,975
9;3;2;1;536,923;-5727,744
9;3;3;1;545,306;-5728,249
9;3;4;1;555,557;-5719,873
9;3;5;1;565,363;-5725,107
9;3;0;2;536,422;-5720,174
9;3;1;2;533,867;-5743,51
9;3;2;2;536,463;-5766,331
9;3;3;2;544,869;-5770,055
9;3;4;2;555,034;-5762,659
9;3;5;2;564,149;-5762,017
9;3;0;3;534,256;-5799,825
9;3;1;3;532,135;-5826,869
9;3;2;3;535,409;-5854,883
9;3;3;3;543,651;-5850,127
9;3;4;3;553,565;-5824,985
9;3;5;3;562,675;-5813,453
9;3;0;4;532,161;-5927,037
9;3;1;4;529,99;-5951,641
9;3;2;4;532,733;-5969,728
9;3;3;4;540,708;-5954,305
9;3;4;4;550,967;-5924,871
9;3;5;4;560,305;-5910,619
9;3;0;5;531,871;-5974,718
9;3;1;5;529,74;-5998,621
9;3;2;5;533,077;-6017,751
9;3;3;5;541,712;-6002,645
9;3;4;5;551,707;-5970,063
9;3;5;5;560,027;-5951,729
9;3;0;6;533,517;-5984,327
9;3;1;6;532,109;-6013,024
9;3;2;6;535,021;-6030,655
9;3;3;6;542,506;-6009,363
9;3;4;6;551,755;-5972,148
9;3;5;6;560,021;-5953,343
9;3;0;7;534,356;-5987,535
9;3;1;7;532,015;-6010,896
9;3;2;7;533,91;-6022,218
9;3;3;7;541,465;-6000,888
9;3;4;7;551,378;-5967,572
9;3;5;7;560,09;-5951,495
9;3;0;8;534,361;-5985,983
9;3;1;8;532,095;-6009,822
9;3;2;8;533,988;-6021,128
9;3;3;8;541,543;-5999,798
9;3;4;8;551,458;-5966,492
9;3;5;8;560,17;-5950,421
9;4;0;0;542,843;-5668,127
9;4;1;0;545,835;-5708,317
9;4;2;0;553,936;-5737,302
9;4;3;0;563,854;-5738,791
9;4;4;0;574,917;-5739,523
9;4;5;0;585,427;-5751,863
9;4;0;1;541,843;-5713,806
